English Name,Item Type,Main Category,Description,Buy PokeYen,Buy BP,Buy Coin,Buy RP,Sell PokeYen
Secret Shiny Particle Effect,Miscellaneous Items,Items,An extremely rare shiny Pokémon,0,0,0,0,0
Master Ball,Poke Balls,Poke Balls,The best BALL with the ultimate performance. It will catch any wild POKéMON without fail,0,0,0,0,0
Ultra Ball,Poke Balls,Poke Balls,"An ultra-performance Ball that
provides a higher Pokémon catch rate
than a Great Ball.",1200,0,0,0,600
Great Ball,Poke Balls,Poke Balls,"A good, high-performance Ball that
provides a higher Pokémon catch rate
than a standard Poké Ball.",600,0,0,0,300
Poké Ball,Poke Balls,Poke Balls,"A device for catching wild Pokémon.
It is thrown like a ball at the
target.
It is designed as a capsule system.",200,0,0,0,100
Safari Ball,Poke Balls,Poke Balls,A special BALL that is used only in the SAFARI ZONE. It is finished in a camouflage pattern,0,0,0,0,0
Net Ball,Poke Balls,Poke Balls,"A somewhat different Poké Ball which
works especially well on Water and
Bug-type Pokémon. It's not affected
by moves which change a Pokémon's
typing.",1350,0,0,0,675
Dive Ball,Poke Balls,Poke Balls,"A somewhat different Poké Ball which
works especially well on Pokémon that
are encountered in water.",1200,0,0,0,600
Nest Ball,Poke Balls,Poke Balls,"A somewhat different Poké Ball that
works especially well on weaker
Pokémon in the wild.",1000,0,0,0,500
Repeat Ball,Poke Balls,Poke Balls,"A Poké Ball which grows in strength
every consecutive capture of a
species of Pokémon. It powers up even
when using a different type of Poké
Ball. Its power is reset to 1.0x if
you capture something else, or if you
don't capture anything for a few
days.",1250,0,0,0,625
Timer Ball,Poke Balls,Poke Balls,"A somewhat different Ball that
becomes progressively better the
more turns there are in a battle.",1200,0,0,0,600
Luxury Ball,Poke Balls,Poke Balls,"A luxurious Poké Ball which helps grow
your friendship with a Pokémon
quickly. It works well on Pokémon
which evolve due to happiness.",1000,0,0,0,500
Premier Ball,Poke Balls,Poke Balls,"A somewhat rare Poké Ball that has
been specially made to commemorate
an event of some sort.",0,0,0,0,0
Potion,Medicine,Medicine,A spray-type wound medicine. It restores the HP of one POKéMON by 20 points,200,0,0,0,100
Antidote,Medicine,Medicine,"A spray-type medicine.
It lifts the effect of poison from
one
Pokémon.",200,0,0,0,300
Burn Heal,Medicine,Medicine,"A spray-type medicine.
It heals a single Pokémon that is
suffering from a burn.",300,0,0,0,300
Ice Heal,Medicine,Medicine,"A spray-type medicine.
It defrosts a Pokémon that has been
frozen solid.",300,0,0,0,300
Awakening,Medicine,Medicine,"A spray-type medicine.
It awakens a Pokémon from the
clutches of sleep.",300,0,0,0,300
Parlyz Heal,Medicine,Medicine,A spray-type medicine. It heals one POKéMON from paralysis,300,0,0,0,150
Full Restore,Medicine,Medicine,"A medicine that fully restores the HP
and heals any status problems of a
single Pokémon.",3000,0,0,0,1500
Max Potion,Medicine,Medicine,"A spray-type medicine for wounds.
It completely restores the HP of a
single Pokémon.",2500,0,0,0,1250
Hyper Potion,Medicine,Medicine,"A spray-type medicine for wounds.
It restores the HP of one Pokémon by
120 points.",1200,0,0,0,600
Super Potion,Medicine,Medicine,A spray-type wound medicine. It restores the HP of one POKéMON by 50 points,600,0,0,0,300
Full Heal,Medicine,Medicine,"A spray-type medicine.
It heals all the status problems of a
single Pokémon.",3500,0,0,0,1750
Revive,Medicine,Medicine,"A medicine that revives a fainted
Pokémon. It restores half the
Pokémon's maximum HP.",3250,0,0,0,1625
Max Revive,Medicine,Medicine,"A medicine that revives a fainted
Pokémon. It fully restores the
Pokémon's HP.",7000,0,0,0,3500
Fresh Water,Medicine,Medicine,"Water with a high mineral content.
It restores the HP of one Pokémon by
30 points.",300,0,0,0,150
Soda Pop,Medicine,Medicine,A fizzy soda drink. It restores the HP of one POKéMON by 60 points,600,0,0,0,300
Lemonade,Medicine,Medicine,A very sweet drink. It restores the HP of one POKéMON by 80 points,750,0,0,0,375
Moomoo Milk,Medicine,Medicine,Highly nutritious milk. It restores the HP of one POKéMON by 100 points,1000,0,0,0,500
Energy Powder,Medicine,Medicine,A very bitter medicine powder. It restores the HP of one POKéMON by 50 points,900,0,0,0,450
Energy Root,Medicine,Medicine,A very bitter root. It restores the HP of one POKéMON by 200 points,3500,0,0,0,1750
Heal Powder,Medicine,Medicine,"A very bitter medicine powder.
It heals all the status problems of a
single Pokémon.",900,0,0,0,400
Revival Herb,Medicine,Medicine,"A very bitter herb.

It revives a Pokémon to half its max
HP if they were fainted.",2800,0,0,0,1400
Ether,Medicine,Medicine,"It restores the PP of a Pokémon's
selected move by a maximum of
15 points.",1200,0,0,0,600
Max Ether,Medicine,Medicine,"It fully restores the PP of a single
selected move that has been learned
by the target Pokémon.",2000,0,0,0,1000
