Pokémon,Held Item
Butterfree,SilverPowder
Beedrill,Poison Barb
Rattata,Chilan Berry
Raticate,Chilan Berry
Raticate,Oran Berry
Spearow,Sharp Beak
Fearow,Sharp Beak
Arbok,Poison Barb
Arbok,Shed Shell
Pikachu,Light Ball
Pikachu,Oran Berry
Raichu,Oran Berry
Sandshrew,Grip Claw
Sandshrew,Quick Claw
Sandslash,Grip Claw
Sandslash,Quick Claw
Sandslash,Soft Sand
Clefairy,Moon Stone
Clefairy,Comet Shard
Clefable,Moon Stone
Clefable,Comet Shard
Vulpix,Charcoal
Vulpix,Rawst Berry
Ninetales,Charcoal
Ninetales,Rawst Berry
Jigglypuff,Oran Berry
Jigglypuff,Moon Stone
Oddish,Absorb Bulb
Gloom,Absorb Bulb
Vileplume,Absorb Bulb
Paras,TinyMushroom
Paras,Big Mushroom
Parasect,TinyMushroom
Parasect,Big Mushroom
Venomoth,SilverPowder
Venomoth,Shed Shell
Diglett,Soft Sand
Diglett,Energy Root
Dugtrio,Soft Sand
Dugtrio,Energy Root
Meowth,Quick Claw
Meowth,Amulet Coin
Persian,Quick Claw
Mankey,Payapa Berry
Primeape,Payapa Berry
Growlithe,Rawst Berry
Arcanine,Rawst Berry
Poliwhirl,King's Rock
Poliwrath,King's Rock
Abra,TwistedSpoon
Kadabra,TwistedSpoon
Alakazam,TwistedSpoon
Machop,Focus Band
Machoke,Focus Band
Machamp,Focus Band
Bellsprout,Big Root
Weepinbell,Big Root
Victreebel,Big Root
Tentacool,Poison Barb
Tentacruel,Poison Barb
Geodude,Everstone
Geodude,Hard Stone
Graveler,Everstone
Graveler,Hard Stone
Golem,Everstone
Golem,Hard Stone
Ponyta,Shuca Berry
Rapidash,Shuca Berry
Slowpoke,Lagging Tail
Slowpoke,King's Rock
Slowbro,King's Rock
Slowbro,Lagging Tail
Magnemite,Metal Coat
Magnemite,Magnet
Magneton,Metal Coat
Magneton,Magnet
Farfetch'd,Stick
Doduo,Sharp Beak
Dodrio,Sharp Beak
Seel,Aspear Berry
Dewgong,NeverMeltIce
Dewgong,Aspear Berry
Grimer,Nugget
Grimer,Black Sludge
Muk,Nugget
Muk,Black Sludge
Muk,Toxic Orb
Shellder,Pearl
Shellder,Big Pearl
Cloyster,Pearl
Cloyster,Big Pearl
Haunter,Spell Tag
Gengar,Spell Tag
Onix,Hard Stone
Onix,Lagging Tail
Onix,Metal Coat
Cubone,Thick Club
Cubone,Rare Bone
Marowak,Thick Club
Marowak,Rare Bone
Lickitung,Lagging Tail
Koffing,Smoke Ball
Weezing,Smoke Ball
Rhyhorn,Protector
Rhydon,Protector
Chansey,Lucky Egg
Chansey,Oval Stone
Chansey,Lucky Punch
Horsea,Dragon Scale
Seadra,Dragon Scale
Goldeen,Mystic Water
Seaking,Mystic Water
Staryu,Stardust
Staryu,Star Piece
Starmie,Stardust
Starmie,Star Piece
Jynx,Aspear Berry
Electabuzz,Electirizer
Magmar,Rawst Berry
Magmar,Magmarizer
Lapras,Mystic Water
Ditto,Quick Powder
Ditto,Metal Powder
Snorlax,Leftovers
Snorlax,Chesto Berry
Dratini,Dragon Scale
Dragonair,Dragon Scale
Dragonair,Dragon Fang
Dragonite,Dragon Scale
Dragonite,Dragon Fang
Sentret,Oran Berry
Furret,Oran Berry
Chinchou,Yellow Shard
Chinchou,DeepSeaScale
Lanturn,Yellow Shard
Lanturn,DeepSeaScale
Pichu,Oran Berry
Cleffa,Moon Stone
Cleffa,Comet Shard
Igglybuff,Oran Berry
Togepi,Shiny Stone
Togetic,Shiny Stone
Bellossom,Absorb Bulb
Politoed,King's Rock
Sunkern,Sun Stone
Sunkern,Coba Berry
Sunflora,Coba Berry
Yanma,Wide Lens
Murkrow,Dusk Stone
Slowking,King's Rock
Misdreavus,Spell Tag
Misdreavus,Dusk Stone
Girafarig,Persim Berry
Gligar,Razor Fang
Steelix,Metal Coat
Steelix,Lagging Tail
Qwilfish,Poison Barb
Shuckle,Berry Juice
Shuckle,Oran Berry
Sneasel,Grip Claw
Sneasel,Razor Claw
Sneasel,Quick Claw
Teddiursa,Oran Berry
Ursaring,Oran Berry
Swinub,Aspear Berry
Piloswine,NeverMeltIce
Piloswine,Aspear Berry
Corsola,Red Shard
Corsola,Hard Stone
Skarmory,Metal Coat
Skarmory,Sharp Beak
Kingdra,Dragon Scale
Phanpy,Passho Berry
Donphan,Passho Berry
Porygon2,Up-Grade
Smoochum,Aspear Berry
Elekid,Electirizer
Magby,Rawst Berry
Magby,Magmarizer
Miltank,Moomoo Milk
Blissey,Lucky Egg
Blissey,Oval Stone
Larvitar,Smooth Rock
Pupitar,Smooth Rock
Tyranitar,Smooth Rock
Ho-Oh,Sacred Ash
Poochyena,Pecha Berry
Mightyena,Pecha Berry
Zigzagoon,Oran Berry
Zigzagoon,Potion
Zigzagoon,Super Potion
Linoone,Oran Berry
Linoone,Potion
Linoone,Super Potion
Wurmple,Pecha Berry
Wurmple,BrightPowder
Beautifly,Shed Shell
Beautifly,SilverPowder
Dustox,Shed Shell
Dustox,SilverPowder
Lotad,Mental Herb
Lombre,Mental Herb
Ludicolo,Mental Herb
Seedot,Power Herb
Nuzleaf,Power Herb
Shiftry,Power Herb
Taillow,Charti Berry
Swellow,Charti Berry
Wingull,Pretty Wing
Wingull,Damp Rock
Pelipper,Pretty Wing
Pelipper,Damp Rock
Pelipper,Lucky Egg (Small)
Ralts,Dawn Stone
Ralts,Destiny Knot
Kirlia,Dawn Stone
Kirlia,Destiny Knot
Gardevoir,Destiny Knot
Surskit,Honey
Masquerain,SilverPowder
Shroomish,TinyMushroom
Shroomish,Big Mushroom
Shroomish,Kebia Berry
Shroomish,BalmMushroom
Breloom,TinyMushroom
Breloom,Big Mushroom
Breloom,Kebia Berry
Breloom,BalmMushroom
Nincada,Soft Sand
Whismur,Chesto Berry
Loudred,Chesto Berry
Exploud,Chesto Berry
Makuhita,Black Belt
Hariyama,King's Rock
Nosepass,Hard Stone
Nosepass,Magnet
Nosepass,Float Stone
Skitty,Pecha Berry
Delcatty,Pecha Berry
Sableye,Wide Lens
Mawile,Iron Ball
Mawile,Occa Berry
Aron,Hard Stone
Lairon,Hard Stone
Aggron,Hard Stone
Plusle,Cell Battery
Minun,Cell Battery
Volbeat,BrightPowder
Illumise,BrightPowder
Roselia,Poison Barb
Roselia,Shiny Stone
Roselia,Absorb Bulb
Gulpin,Big Pearl
Gulpin,Oran Berry
Swalot,Big Pearl
Swalot,Oran Berry
Carvanha,DeepSeaTooth
Sharpedo,DeepSeaTooth
Numel,Rawst Berry
Camerupt,Rawst Berry
Torkoal,Charcoal
Torkoal,Heat Rock
Spoink,Persim Berry
Spoink,Tanga Berry
Grumpig,Persim Berry
Grumpig,Tanga Berry
Spinda,Chesto Berry
Trapinch,Soft Sand
Cacnea,Sticky Barb
Cacnea,Poison Barb
Cacturne,Sticky Barb
Cacturne,Poison Barb
Zangoose,Quick Claw
Zangoose,Razor Claw
Seviper,Shed Shell
Seviper,Razor Fang
Seviper,Persim Berry
Lunatone,Moon Stone
Lunatone,Stardust
Lunatone,Comet Shard
Solrock,Sun Stone
Solrock,Stardust
Solrock,Comet Shard
Baltoy,Light Clay
Claydol,Light Clay
Lileep,Big Root
Cradily,Big Root
Castform,Mystic Water
Shuppet,Spell Tag
Banette,Spell Tag
Duskull,Reaper Cloth
Duskull,Spell Tag
Duskull,Kasib Berry
Dusclops,Reaper Cloth
Dusclops,Spell Tag
Dusclops,Kasib Berry
Chimecho,Cleanse Tag
Chimecho,Soothe Bell
Chimecho,Colbur Berry
Absol,Life Orb
Snorunt,Dawn Stone
Snorunt,Babiri Berry
Glalie,NeverMeltIce
Glalie,Babiri Berry
Clamperl,Blue Shard
Clamperl,Pearl
Huntail,Blue Shard
Huntail,DeepSeaTooth
Gorebyss,Blue Shard
Gorebyss,DeepSeaScale
Relicanth,Green Shard
Relicanth,DeepSeaScale
Luvdisc,Heart Scale
Bagon,Dragon Scale
Bagon,Dragon Fang
Shelgon,Dragon Scale
Shelgon,Dragon Fang
Salamence,Dragon Scale
Salamence,Dragon Fang
Beldum,Metal Coat
Metang,Metal Coat
Metagross,Metal Coat
Jirachi,Star Piece
Starly,Yache Berry
Staravia,Yache Berry
Staraptor,Yache Berry
Bibarel,Oran Berry
Kricketot,Metronome
Kricketune,Metronome
Budew,Poison Barb
Budew,Shiny Stone
Roserade,Poison Barb
Roserade,Absorb Bulb
Roserade,Shiny Stone
Wormadam,SilverPowder
Mothim,SilverPowder
Combee,Honey
Vespiquen,Poison Barb
Buizel,Wacan Berry
Floatzel,Wacan Berry
Cherubi,Miracle Seed
Cherrim,Miracle Seed
Drifblim,Air Balloon
Buneary,Pecha Berry
Buneary,Chople Berry
Lopunny,Pecha Berry
Lopunny,Chople Berry
Mismagius,Spell Tag
Glameow,Cheri Berry
Purugly,Cheri Berry
Chingling,Cleanse Tag
Chingling,Soothe Bell
Chingling,Colbur Berry
Stunky,Pecha Berry
Skuntank,Pecha Berry
Bronzor,Metal Coat
Bronzong,Metal Coat
Happiny,Oval Stone
Happiny,Lucky Egg
Chatot,Metronome
Spiritomb,Smoke Ball
Gible,Haban Berry
Gabite,Haban Berry
Garchomp,Haban Berry
Munchlax,Leftovers
Hippopotas,Smooth Rock
Hippowdon,Smooth Rock
Skorupi,Poison Barb
Drapion,Poison Barb
Croagunk,Black Sludge
Toxicroak,Black Sludge
Finneon,Rindo Berry
Lumineon,Rindo Berry
Snover,NeverMeltIce
Snover,Icy Rock
Abomasnow,NeverMeltIce
Abomasnow,Icy Rock
Weavile,Grip Claw
Weavile,Quick Claw
Weavile,Razor Claw
Magnezone,Metal Coat
Magnezone,Magnet
Lickilicky,Lagging Tail
Rhyperior,Protector
Electivire,Electirizer
Magmortar,Rawst Berry
Magmortar,Magmarizer
Yanmega,Wide Lens
Gliscor,Razor Fang
Mamoswine,NeverMeltIce
Mamoswine,Aspear Berry
Porygon-Z,Dubious Disc
Gallade,Destiny Knot
Probopass,Hard Stone
Probopass,Magnet
Probopass,Float Stone
Dusknoir,Spell Tag
Dusknoir,Reaper Cloth
Dusknoir,Kasib Berry
Froslass,Babiri Berry
Pansage,Oran Berry
Pansage,Occa Berry
Simisage,Oran Berry
Simisage,Occa Berry
Pansear,Oran Berry
Pansear,Passho Berry
Simisear,Oran Berry
Simisear,Passho Berry
Panpour,Oran Berry
Panpour,Rindo Berry
Simipour,Oran Berry
Simipour,Rindo Berry
Blitzle,Cheri Berry
Zebstrika,Cheri Berry
Roggenrola,Everstone
Roggenrola,Hard Stone
Boldore,Everstone
Boldore,Hard Stone
Gigalith,Everstone
Gigalith,Hard Stone
Drilbur,Energy Root
Excadrill,Energy Root
Audino,Oran Berry
Tympole,Persim Berry
Tympole,Pecha Berry
Palpitoad,Persim Berry
Palpitoad,Pecha Berry
Seismitoad,Persim Berry
Seismitoad,Pecha Berry
Throh,Black Belt
Throh,Expert Belt
Sawk,Black Belt
Sawk,Expert Belt
Sewaddle,Mental Herb
Swadloon,Mental Herb
Leavanny,Mental Herb
Venipede,Poison Barb
Venipede,Pecha Berry
Whirlipede,Poison Barb
Whirlipede,Pecha Berry
Scolipede,Poison Barb
Scolipede,Pecha Berry
Cottonee,Absorb Bulb
Whimsicott,Absorb Bulb
Petilil,Absorb Bulb
Lilligant,Absorb Bulb
Basculin,DeepSeaTooth
Basculin (Blue-Striped Form),DeepSeaScale
Sandile,BlackGlasses
Krokorok,BlackGlasses
Krookodile,BlackGlasses
Darumaka,Rawst Berry
Darmanitan,Rawst Berry
Maractus,Miracle Seed
Dwebble,Hard Stone
Dwebble,Rare Bone
Crustle,Hard Stone
Crustle,Rare Bone
Scraggy,Shed Shell
Scrafty,Shed Shell
Yamask,Spell Tag
Cofagrigus,Spell Tag
Trubbish,Black Sludge
Trubbish,Silk Scarf
Trubbish,Nugget
Garbodor,Black Sludge
Garbodor,Silk Scarf
Garbodor,Nugget
Garbodor,Big Nugget
Minccino,Shiny Stone
Minccino,Chesto Berry
Cinccino,Chesto Berry
Gothita,Persim Berry
Gothorita,Persim Berry
Gothorita,Float Stone
Gothitelle,Persim Berry
Gothitelle,Float Stone
Solosis,Persim Berry
Duosion,Persim Berry
Reuniclus,Persim Berry
Vanillite,NeverMeltIce
Vanillite,Icy Rock
Vanillish,NeverMeltIce
Vanillish,Icy Rock
Vanilluxe,NeverMeltIce
Vanilluxe,Icy Rock
Emolga,Cheri Berry
Foongus,TinyMushroom
Foongus,BalmMushroom
Amoonguss,Big Mushroom
Amoonguss,BalmMushroom
Ferroseed,Sticky Barb
Ferrothorn,Sticky Barb
Litwick,Dusk Stone
Lampent,Dusk Stone
Cubchoo,Aspear Berry
Beartic,Aspear Berry
Cryogonal,NeverMeltIce
Stunfisk,Soft Sand
Druddigon,Dragon Fang
Golett,Light Clay
Golurk,Light Clay
Heatmor,Flame Orb
Volcarona,SilverPowder
Meloetta,Star Piece
