Region,Location,Area,Item,Amount,Type,Details
Kanto,Pallet Town,Oak's Lab,Pokedex,1,NPC Gift,Professor Oak's Lab
Kanto,Pallet Town,Oak's Lab,Mysterious Poké Ball (2023),5,NPC Gift,Professor Oak's Lab
Kanto,Pallet Town,Rival's House,Town Map,1,NPC Gift,Daisy in the rival's house
Kanto,Viridian City,North Path,Potion,1,Overworld,Follow path north
Kanto,Viridian City,Gym,TM - Earthquake,1,Gym,Defeat Gym Leader
Kanto,Viridian City,Gym,Macho Brace,1,Hidden,Use Itemfinder where the Gym Leader stood
Kanto,Viridian City,Southwest Tree,TM - Dream Eater,1,NPC Gift,"Cut tree, talk to the man"
Kanto,Pewter City,NW Corner,Poké Ball,1,Hidden,North-west corner
Kanto,Pewter City,Gym,TM - Rock Tomb,1,Gym,Defeat Gym Leader
Kanto,Pewter City,East Gate,Running Shoes,1,NPC Gift,Man with glasses exiting east
Kanto,Pewter City,Museum,Old Amber,1,NPC Gift,Back door of the Museum
Kanto,Pewter City,Museum,TM - Seismic Toss,1,NPC Gift,Man in the back of the Museum
Kanto,Cerulean City,NW House,Rare Candy,1,Hidden,"NW house, back door"
Kanto,Cerulean City,East House,Powder Jar,1,NPC Gift,East house
Kanto,Cerulean City,Gym,TM - Water Pulse,1,Gym,Defeat Gym Leader
Kanto,Cerulean City,Backyard,TM - Dig,1,Overworld,Defeat Rocket Grunt behind the north house
Kanto,Cerulean City,SW House,Bicycle,1,NPC Gift,Yellow-haired man in the SW house
Kanto,Cerulean City,Gym Area,TM - Softboiled,1,NPC Gift,Surf across water in the city
Kanto,Vermilion City,Poke Center,Super Potion,1,Hidden,Near the Poke Center
Kanto,Vermilion City,Poke Center,Vs Seeker,1,NPC Gift,Girl in red inside the Poke Center
Kanto,Vermilion City,SW House,Old Rod,1,NPC Gift,Fisherman in the SW house
Kanto,Vermilion City,Fan Club,Bike Voucher,1,NPC Gift,Pokemon Fan Club Chairman
Kanto,Vermilion City,Gym,TM - Shock Wave,1,Gym,Defeat Gym Leader
Kanto,Celadon City,NW Corner,Ether,1,Overworld,North-west corner
Kanto,Celadon City,PC South,PP Up,1,Hidden,Tree south of the Poke Center
Kanto,Celadon City,Mansion,Tea,1,NPC Gift,Old woman in the Mansion
Kanto,Celadon City,Dept. Store,TM - Counter,1,NPC Gift,3rd Floor of the Department Store
Kanto,Celadon City,Dept. Store,TM - Light Screen,1,NPC Gift,Give Fresh Water to girl on Dept. Store roof
Kanto,Celadon City,Dept. Store,TM - Safeguard,1,NPC Gift,Give Soda Pop to girl on Dept. Store roof
Kanto,Celadon City,Dept. Store,TM - Reflect,1,NPC Gift,Give Lemonade to girl on Dept. Store roof
Kanto,Celadon City,Restaurant,Coin Case,1,NPC Gift,Man in the restaurant
Kanto,Celadon City,Gym,TM - Giga Drain,1,Gym,Defeat Gym Leader
Kanto,Fuchsia City,Gym,TM - Toxic,1,Gym,Defeat Gym Leader
Kanto,Fuchsia City,SE House,Good Rod,1,NPC Gift,Fisherman in the SE house
Kanto,Fuchsia City,Warden's House,Max Revive,1,Hidden,Back yard of the Warden's house
Kanto,Fuchsia City,Poke Mart Area,TM - Substitute,1,NPC Gift,Man near the Poke Mart
Kanto,Fuchsia City,Warden's House,Rare Candy,1,Overworld,Behind a boulder in the Warden's house
Kanto,Fuchsia City,Warden's House,HM04-Strength,1,NPC Gift,Give Gold Teeth to the Warden
Kanto,Saffron City,SE House,TM - Psychic,1,NPC Gift,Mr. Psychic in the SE house
Kanto,Saffron City,NW House,TM - Mimic,1,NPC Gift,Copycat (upstairs in NW house)
Kanto,Saffron City,NW House,Nugget,1,Hidden,On the table in Copycat's room
Kanto,Saffron City,Gym,TM - Calm Mind,1,Gym,Defeat Gym Leader
Kanto,Lavender Town,Volunteer House,Poke Flute,1,NPC Gift,Mr. Fuji
Kanto,Cinnabar Island,Pokemon Lab,TM - Metronome,1,NPC Gift,"Lab building, 2nd room"
Kanto,Cinnabar Island,Gym,TM - Fire Blast,1,Gym,Defeat Gym Leader
Kanto,Route 1,Path,Potion,1,NPC Gift,First NPC
Kanto,Route 2,Gate House,HM05-Flash,1,NPC Gift,Oak's Aide (requires 10 caught)
Kanto,Route 2,South Path,Sharp Beak,1,Overworld,South path
Kanto,Route 2,South Path,Parlyz Heal,1,Overworld,South path
Kanto,Route 3,Ground,Oran Berry,1,Overworld,In the M-shaped hole
Kanto,Route 4 (Pre-Moon),PC Area,Persim Berry,1,Overworld,West of Poke Center
Kanto,Route 4 (Post-Moon),Fighters Area,Great Ball,1,Hidden,Near the martial artists
Kanto,Route 4 (Post-Moon),Fighters Area,TM - Mega Punch,1,NPC Gift,Martial Artist
Kanto,Route 4 (Post-Moon),Fighters Area,TM - Mega Kick,1,NPC Gift,Martial Artist
Kanto,Route 4 (Post-Moon),SE Area,Razz Berry,1,Overworld,South east
Kanto,Route 4 (Post-Moon),North Path,TM - Mega Drain,1,Overworld,North path
Kanto,Underground 5-6,Path,Antidote,1,Hidden,Scattered along the path
Kanto,Underground 5-6,Path,Super Potion,1,Hidden,Scattered along the path
Kanto,Underground 5-6,Path,Awakening,1,Hidden,Scattered along the path
Kanto,Underground 5-6,Path,Potion,1,Hidden,Scattered along the path
Kanto,Underground 5-6,Path,Ether,1,Hidden,Scattered along the path
Kanto,Underground 5-6,Path,Ice Heal,1,Hidden,Scattered along the path
Kanto,Underground 5-6,Path,Burn Heal,1,Hidden,Scattered along the path
Kanto,Route 6,NW Path,Sitrus Berry,1,Overworld,North-west
Kanto,Route 6,NE Corner,Rare Candy,1,Hidden,North-east
Kanto,Underground 7-8,Path,Fresh Water,1,Hidden,Scattered along the path
Kanto,Underground 7-8,Path,Antidote,1,Hidden,Scattered along the path
Kanto,Underground 7-8,Path,Ether,1,Hidden,Scattered along the path
Kanto,Underground 7-8,Path,Burn Heal,1,Hidden,Scattered along the path
Kanto,Underground 7-8,Path,Awakening,1,Hidden,Scattered along the path
Kanto,Underground 7-8,Path,Super Potion,1,Hidden,Scattered along the path
Kanto,Underground 7-8,Path,Potion,1,Hidden,Scattered along the path
Kanto,Route 8,Cut Trees,Rawst Berry,1,Overworld,Behind cut trees
Kanto,Route 8,Cut Trees,Lum Berry,1,Overworld,Behind cut trees
Kanto,Route 8,Cut Trees,Leppa Berry,1,Overworld,Behind cut trees
Kanto,Route 9,South Path,TM - Take Down,1,Overworld,South path
