Region,Location,Item,Price
All Regions,All Department Stores (After 8 Gym Badges),TM - Acrobatics,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Aerial Ace,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Air Slash,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Attract,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Aura Sphere,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Baton Pass,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Bide,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Body Slam,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Brave Bird,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Brick Break,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Bulk Up,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Bulldoze,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Captivate,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Charm,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Close Combat,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Counter,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Cross Poison,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Detect,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Dig,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Double Team,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Double-Edge,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Drain Punch,-
All Regions,All Department Stores (After 8 Gym Badges),TM - DynamicPunch,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Earthquake,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Echoed Voice,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Egg Bomb,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Encore,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Endure,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Explosion,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Facade,-
All Regions,All Department Stores (After 8 Gym Badges),TM - False Swipe,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Fissure,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Flash,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Focus Blast,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Focus Energy,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Focus Punch,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Frustration,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Giga Impact,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Hidden Power,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Horn Drill,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Hurricane,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Hyper Beam,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Low Sweep,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Mega Kick,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Mega Punch,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Metronome,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Mimic,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Mud Shot,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Natural Gift,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Nature Power,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Pay Day,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Pluck,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Poison Jab,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Power Gem,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Protect,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Psych Up,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Rage,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Razor Wind,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Recycle,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Retaliate,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Return,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Revenge,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Reversal,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Roar,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Rock Blast,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Rock Polish,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Rock Slide,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Rock Tomb,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Rollout,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Roost,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Round,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Safeguard,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Sand Tomb,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Sandstorm,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Scary Face,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Screech,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Secret Power,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Seismic Toss,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Skull Bash,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Sky Drop,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Sleep Talk,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Sludge Bomb,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Sludge Wave,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Smack Down,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Softboiled,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Spikes,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Stealth Rock,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Stone Edge,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Submission,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Substitute,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Swagger,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Sweet Scent,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Swords Dance,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Tail Slap,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Take Down,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Toxic,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Toxic Spikes,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Tri Attack,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Venoshock,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Weather Ball,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Whirlwind,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Work Up,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Agility,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Ally Switch,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Amnesia,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Assurance,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Avalanche,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Beat Up,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Blaze Kick,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Blizzard,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Brine,-
All Regions,All Department Stores (After 8 Gym Badges),TM - BubbleBeam,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Bug Buzz,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Bullet Seed,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Calm Mind,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Charge Beam,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Cosmic Power,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Crunch,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Curse,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Dark Pulse,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Dragon Claw,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Dragon Pulse,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Dragon Rage,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Dragon Tail,-
All Regions,All Department Stores (After 8 Gym Badges),TM - DragonBreath,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Dream Eater,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Electro Ball,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Embargo,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Energy Ball,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Fake Tears,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Fire Blast,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Fire Fang,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Fire Spin,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Flame Charge,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Flamethrower,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Flare Blitz,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Flash Cannon,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Fling,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Frost Breath,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Fury Cutter,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Future Sight,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Giga Drain,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Grass Knot,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Guard Swap,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Gyro Ball,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Snowscape,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Heat Crash,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Heavy Slam,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Hex,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Hone Claws,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Hydro Pump,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Ice Beam,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Ice Fang,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Icicle Spear,-
All Regions,All Department Stores (After 8 Gym Badges),TM - Imprison,-
