Region,Location,Item,Price
Hoenn,Battle Frontier,Mental Herb,85 BP
Hoenn,Battle Frontier,White Herb,100 BP
Hoenn,Battle Frontier,Power Herb,100 BP
Hoenn,Battle Frontier,Absorb Bulb,100 BP
Hoenn,Battle Frontier,Cell Battery,100 BP
Hoenn,Battle Frontier,Red Card,100 BP
Hoenn,Battle Frontier,Eject Button,100 BP
Hoenn,Battle Frontier,Air Balloon,100 BP
Hoenn,Battle Frontier,Focus Sash,100 BP
Hoenn,Battle Frontier,Life Orb,"6,400 BP"
Hoenn,Battle Frontier,Toxic Orb,"6,400 BP"
Hoenn,Battle Frontier,Flame Orb,"6,400 BP"
Hoenn,Battle Frontier,Leftovers,"4,800 BP"
Hoenn,Battle Frontier,Wise Glasses,"4,800 BP"
Hoenn,Battle Frontier,Scope Lens,"4,800 BP"
Hoenn,Battle Frontier,Zoom Lens,"4,800 BP"
Hoenn,Battle Frontier,Wide Lens,"4,800 BP"
Hoenn,Battle Frontier,Muscle Band,"4,800 BP"
Hoenn,Battle Frontier,Rocky Helmet,"4,800 BP"
Hoenn,Battle Frontier,Focus Band,"3,200 BP"
Hoenn,Battle Frontier,Choice Band,"9,800 BP"
Hoenn,Battle Frontier,Choice Scarf,"9,800 BP"
Hoenn,Battle Frontier,Choice Specs,"9,800 BP"
Hoenn,Battle Frontier,Eviolite,"9,800 BP"
Hoenn,Battle Frontier,Assault Gear,"9,800 BP"
Hoenn,Battle Frontier,Dubious Disc,"4,800 BP"
Hoenn,Battle Frontier,Up-Grade,"3,200 BP"
Hoenn,Battle Frontier,Razor Claw,"4,800 BP"
Hoenn,Battle Frontier,Razor Fang,"4,800 BP"
Hoenn,Battle Frontier,BrightPowder,"3,200 BP"
Hoenn,Battle Frontier,Iron Ball,"4,800 BP"
Hoenn,Battle Frontier,Ring Target,"4,800 BP"
Hoenn,Battle Frontier,Binding Band,"4,800 BP"
Hoenn,Battle Frontier,Reinforced Boots,"9,800 BP"
Hoenn,Battle Frontier,Punching Gloves,"6,400 BP"
Hoenn,Battle Frontier,Covert Mantle,"6,400 BP"
Hoenn,Battle Frontier,Loaded Dice,"4,800 BP"
Hoenn,Battle Frontier,Safety Goggles,"4,800 BP"
Hoenn,Battle Frontier,Protective Pads,"4,800 BP"
Hoenn,Battle Frontier,Pure Amulet,"9,800 BP"
Hoenn,Battle Frontier,Type Policy,85 BP
Hoenn,Battle Frontier,Throat Spray,100 BP
Hoenn,Battle Frontier,Room Service,100 BP
Hoenn,Battle Frontier,Snowball,100 BP
Hoenn,Battle Frontier,Glowing Moss,100 BP
Hoenn,Battle Frontier,Eject Pack,100 BP
Hoenn,Battle Frontier,PVP Mystery Box,"7,500 BP"
Hoenn,Battle Frontier,Health Wing,150 BP
Hoenn,Battle Frontier,Muscle Wing,150 BP
Hoenn,Battle Frontier,Resist Wing,150 BP
Hoenn,Battle Frontier,Genius Wing,150 BP
Hoenn,Battle Frontier,Clever Wing,150 BP
Hoenn,Battle Frontier,Swift Wing,150 BP
Hoenn,Battle Frontier,Pretty Wing,150 BP
Hoenn,Battle Frontier,HP Up,275 BP
Hoenn,Battle Frontier,Protein,275 BP
Hoenn,Battle Frontier,Calcium,275 BP
Hoenn,Battle Frontier,Iron,275 BP
Hoenn,Battle Frontier,Zinc,275 BP
Hoenn,Battle Frontier,Carbos,275 BP
Hoenn,Battle Frontier,Power Weight,750 BP
Hoenn,Battle Frontier,Power Bracer,750 BP
Hoenn,Battle Frontier,Power Belt,750 BP
Hoenn,Battle Frontier,Power Lens,750 BP
Hoenn,Battle Frontier,Power Band,750 BP
Hoenn,Battle Frontier,Power Anklet,750 BP
Hoenn,Battle Frontier,Ability Pill,"2,250 BP"
Hoenn,Battle Frontier,Mud Ball,200 BP
Hoenn,Battle Frontier,Fence Length,500 BP
Hoenn,Battle Frontier,Fence Width,500 BP
Hoenn,Battle Frontier,Tire,"1,200 BP"
Hoenn,Battle Frontier,Solid Board,"3,200 BP"
Hoenn,Battle Frontier,Sand Ornament,"3,200 BP"
Hoenn,Battle Frontier,Breakable Door,"3,200 BP"
Hoenn,Battle Frontier,TV,"3,200 BP"
Hoenn,Battle Frontier,Round TV,"4,200 BP"
Hoenn,Battle Frontier,Cute TV,"4,200 BP"
Hoenn,Battle Frontier,Stand,"8,000 BP"
Hoenn,Battle Frontier,Slide,"8,000 BP"
Hoenn,Battle Frontier,Wailmer Doll,"12,800 BP"
Hoenn,Battle Frontier,Rhydon Doll,"12,800 BP"
Hoenn,Battle Frontier,Kiss Poster,"1,600 BP"
Hoenn,Battle Frontier,Kiss Cushion,"3,200 BP"
Hoenn,Battle Frontier,Smoochum Doll,"3,200 BP"
Hoenn,Battle Frontier,Togepi Doll,"4,800 BP"
Hoenn,Battle Frontier,Meowth Doll,"4,800 BP"
Hoenn,Battle Frontier,Clefairy Doll,"4,800 BP"
Hoenn,Battle Frontier,Ditto Doll,"4,800 BP"
Hoenn,Battle Frontier,Cyndaquil Doll,"8,000 BP"
Hoenn,Battle Frontier,Chikorita Doll,"8,000 BP"
Hoenn,Battle Frontier,Totodile Doll,"8,000 BP"
Hoenn,Battle Frontier,Lapras Doll,"12,800 BP"
Hoenn,Battle Frontier,Snorlax Doll,"12,800 BP"
Hoenn,Battle Frontier,Venusaur Doll,"25,600 BP"
Hoenn,Battle Frontier,Charizard Doll,"25,600 BP"
Hoenn,Battle Frontier,Blastoise Doll,"25,600 BP"
