Region,Location,Item,Price
Hoenn,Fallarbor Town,Poké Ball,200 PokéYen
Hoenn,Fallarbor Town,Great Ball,600 PokéYen
Hoenn,Fallarbor Town,Potion,200 PokéYen
Hoenn,Fallarbor Town,Super Potion,600 PokéYen
Hoenn,Fallarbor Town,Antidote,200 PokéYen
Hoenn,Fallarbor Town,Parlyz Heal,300 PokéYen
Hoenn,Fallarbor Town,Escape Rope,750 PokéYen
Hoenn,Fallarbor Town,Repel,400 PokéYen
Hoenn,Fallarbor Town,Super Repel,750 PokéYen
Hoenn,Fallarbor Town,Lure,600 PokéYen
Hoenn,Fallarbor Town,Super Lure,1200 PokéYen
Hoenn,Fallarbor Town,X Attack,2000 PokéYen
Hoenn,Fallarbor Town,X Special,2000 PokéYen
Hoenn,Fallarbor Town,Dire Hit,1500 PokéYen
Hoenn,Fallarbor Town,X Defend,2500 PokéYen
Hoenn,Fallarbor Town,X Sp. Def,2500 PokéYen
Hoenn,Fallarbor Town,Guard Spec,1500 PokéYen
Hoenn,Fallarbor Town,X Speed,2000 PokéYen
Hoenn,Fallarbor Town,X Accuracy,1500 PokéYen
