Region,Location,Item,Price
Hoenn,Fortree City,Poké Ball,200 PokéYen
Hoenn,Fortree City,Great Ball,600 PokéYen
Hoenn,Fortree City,Ultra Ball,1200 PokéYen
Hoenn,Fortree City,Potion,200 PokéYen
Hoenn,Fortree City,Super Potion,600 PokéYen
Hoenn,Fortree City,Hyper Potion,1200 PokéYen
Hoenn,Fortree City,Antidote,200 PokéYen
Hoenn,Fortree City,Parlyz Heal,300 PokéYen
Hoenn,Fortree City,Awakening,300 PokéYen
Hoenn,Fortree City,Revive,3250 PokéYen
Hoenn,Fortree City,Repel,400 PokéYen
Hoenn,Fortree City,Super Repel,750 PokéYen
Hoenn,Fortree City,Lure,600 PokéYen
Hoenn,Fortree City,Super Lure,1200 PokéYen
Hoenn,Fortree City,Wood Mail, PokéYen
Hoenn,Fortree City,TM - Venoshock,"$12,500"
Hoenn,Fortree City,TM - Hidden Power,"$30,000"
Hoenn,Fortree City,TM - Sunny Day,"$12,500"
Hoenn,Fortree City,TM - Taunt,"$17,500"
Hoenn,Fortree City,TM - Hyper Beam,"$17,500"
Hoenn,Fortree City,TM - Rain Dance,"$17,500"
Hoenn,Fortree City,TM - SolarBeam,"$17,500"
Hoenn,Fortree City,TM - Torment,"$12,500"
Hoenn,Fortree City,TM - Facade,"$17,500"
Hoenn,Fortree City,TM - Rest,"$25,000"
Hoenn,Fortree City,TM - Overheat,"$20,000"
Hoenn,Fortree City,TM - Ally Switch,"$10,000"
Hoenn,Fortree City,TM - Charge Beam,"$12,500"
Hoenn,Fortree City,TM - Quash,"$12,500"
Hoenn,Fortree City,TM - Acrobatics,"$17,500"
Hoenn,Fortree City,TM - Embargo,"$10,000"
Hoenn,Fortree City,TM - Explosion,"$17,500"
Hoenn,Fortree City,TM - Shadow Claw,"$17,500"
Hoenn,Fortree City,TM - Payback,"$17,500"
Hoenn,Fortree City,TM - Retaliate,"$12,500"
Hoenn,Fortree City,TM - Giga Impact,"$17,500"
Hoenn,Fortree City,TM - Rock Polish,"$17,500"
Hoenn,Fortree City,TM - Gyro Ball,"$25,000"
Hoenn,Fortree City,TM - Psych Up,"$12,500"
Hoenn,Fortree City,TM - Frost Breath,"$17,500"
Hoenn,Fortree City,TM - Rock Slide,"$17,500"
Hoenn,Fortree City,TM - X-Scissor,"$25,000"
Hoenn,Fortree City,TM - Dragon Tail,"$17,500"
Hoenn,Fortree City,TM - Poison Jab,"$17,500"
Hoenn,Fortree City,TM - Grass Knot,"$25,000"
Hoenn,Fortree City,TM - Swagger,"$12,500"
