Region,Location,Item,Price
Hoenn,Lavaridge Town,Poké Ball,200 PokéYen
Hoenn,Lavaridge Town,Great Ball,600 PokéYen
Hoenn,Lavaridge Town,Potion,200 PokéYen
Hoenn,Lavaridge Town,Super Potion,600 PokéYen
Hoenn,Lavaridge Town,Antidote,200 PokéYen
Hoenn,Lavaridge Town,Parlyz Heal,300 PokéYen
Hoenn,Lavaridge Town,Awakening,300 PokéYen
Hoenn,Lavaridge Town,Burn Heal,300 PokéYen
Hoenn,Lavaridge Town,Revive,3250 PokéYen
Hoenn,Lavaridge Town,Repel,400 PokéYen
Hoenn,Lavaridge Town,Super Repel,750 PokéYen
Hoenn,Lavaridge Town,Lure,600 PokéYen
Hoenn,Lavaridge Town,Super Lure,1200 PokéYen
