Region,Location,Item,Price
Hoenn,Mauville City,Poké Ball,200 PokéYen
Hoenn,Mauville City,Great Ball,600 PokéYen
Hoenn,Mauville City,Super Potion,600 PokéYen
Hoenn,Mauville City,Antidote,200 PokéYen
Hoenn,Mauville City,Parlyz Heal,300 PokéYen
Hoenn,Mauville City,Awakening,300 PokéYen
Hoenn,Mauville City,X Attack,2000 PokéYen
Hoenn,Mauville City,X Special,2000 PokéYen
Hoenn,Mauville City,Dire Hit,1500 PokéYen
Hoenn,Mauville City,X Defend,2500 PokéYen
Hoenn,Mauville City,X Sp. Def,2500 PokéYen
Hoenn,Mauville City,Guard Spec,1500 PokéYen
Hoenn,Mauville City,X Speed,2000 PokéYen
Hoenn,Mauville City,X Accuracy,1500 PokéYen
