Region,Location,Item,Price
Hoenn,Mossdeep City,Poké Ball,200 PokéYen
Hoenn,Mossdeep City,Great Ball,600 PokéYen
Hoenn,Mossdeep City,Ultra Ball,1200 PokéYen
Hoenn,Mossdeep City,Net Ball,1350 PokéYen
Hoenn,Mossdeep City,Dive Ball,1200 PokéYen
Hoenn,Mossdeep City,Super Potion,600 PokéYen
Hoenn,Mossdeep City,Hyper Potion,1200 PokéYen
Hoenn,Mossdeep City,Antidote,200 PokéYen
Hoenn,Mossdeep City,Parlyz Heal,300 PokéYen
Hoenn,Mossdeep City,Awakening,300 PokéYen
Hoenn,Mossdeep City,Burn Heal,300 PokéYen
Hoenn,Mossdeep City,Ice Heal,300 PokéYen
Hoenn,Mossdeep City,Revive,3250 PokéYen
Hoenn,Mossdeep City,Repel,400 PokéYen
Hoenn,Mossdeep City,Super Repel,750 PokéYen
Hoenn,Mossdeep City,Max Repel,900 PokéYen
