Region,Location,Item,Price
Hoenn,Slateport City,Poké Ball,200 PokéYen
Hoenn,Slateport City,Great Ball,600 PokéYen
Hoenn,Slateport City,Potion,200 PokéYen
Hoenn,Slateport City,Super Potion,600 PokéYen
Hoenn,Slateport City,Antidote,200 PokéYen
Hoenn,Slateport City,Parlyz Heal,300 PokéYen
Hoenn,Slateport City,Escape Rope,750 PokéYen
Hoenn,Slateport City,Repel,400 PokéYen
Hoenn,Slateport City,Lure,600 PokéYen
Hoenn,Slateport City,Harbor Mail, PokéYen
Hoenn,Slateport City,TM - Hone Claws,"$17,500"
Hoenn,Slateport City,TM - Roar,"$25,000"
Hoenn,Slateport City,TM - Snowscape,"$10,000"
Hoenn,Slateport City,TM - Hidden Power,"$30,000"
Hoenn,Slateport City,TM - Protect,"$25,000"
Hoenn,Slateport City,TM - Telekinesis,"$10,000"
Hoenn,Slateport City,TM - Safeguard,"$12,500"
Hoenn,Slateport City,TM - Frustration,"$17,500"
Hoenn,Slateport City,TM - Smack Down,"$12,500"
Hoenn,Slateport City,TM - Dig,"$10,000"
Hoenn,Slateport City,TM - Brick Break,"$17,500"
Hoenn,Slateport City,TM - Double Team,"$10,000"
Hoenn,Slateport City,TM - Sandstorm,"$10,000"
Hoenn,Slateport City,TM - Rock Tomb,"$12,500"
Hoenn,Slateport City,TM - Aerial Ace,"$12,500"
Hoenn,Slateport City,TM - Flame Charge,"$17,500"
Hoenn,Slateport City,TM - Secret Power,"$10,000"
Hoenn,Slateport City,TM - Attract,"$10,000"
Hoenn,Slateport City,TM - Thief,"$10,000"
Hoenn,Slateport City,TM - Low Sweep,"$17,500"
Hoenn,Slateport City,TM - Round,"$10,000"
Hoenn,Slateport City,TM - Echoed Voice,"$10,000"
Hoenn,Slateport City,TM - False Swipe,"$10,000"
Hoenn,Slateport City,TM - Fling,"$12,500"
Hoenn,Slateport City,TM - Sky Drop,"$12,500"
Hoenn,Slateport City,TM - Incinerate,"$10,000"
Hoenn,Slateport City,TM - Struggle Bug,"$12,500"
Hoenn,Slateport City,TM - Bulldoze,"$12,500"
Hoenn,Slateport City,TM - Work Up,"$17,500"
Hoenn,Slateport City,TM - Dream Eater,"$10,000"
Hoenn,Slateport City,TM - Pluck,"$12,500"
Hoenn,Slateport City,TM - Snarl,"$12,500"
