Region,Location,Item,Price
Hoenn,Sootopolis City,TM - Dragon Claw,"$25,000"
Hoenn,Sootopolis City,TM - Psyshock,"$25,000"
Hoenn,Sootopolis City,TM - Calm Mind,"$20,000"
Hoenn,Sootopolis City,TM - Toxic,"$25,000"
Hoenn,Sootopolis City,TM - Bulk Up,"$20,000"
Hoenn,Sootopolis City,TM - Ice Beam,"$30,000"
Hoenn,Sootopolis City,TM - Blizzard,"$25,000"
Hoenn,Sootopolis City,TM - Light Screen,"$20,000"
Hoenn,Sootopolis City,TM - Thunderbolt,"$30,000"
Hoenn,Sootopolis City,TM - Thunder,"$25,000"
Hoenn,Sootopolis City,TM - Earthquake,"$30,000"
Hoenn,Sootopolis City,TM - Return,"$20,000"
Hoenn,Sootopolis City,TM - Psychic,"$30,000"
Hoenn,Sootopolis City,TM - Shadow Ball,"$25,000"
Hoenn,Sootopolis City,TM - Reflect,"$20,000"
Hoenn,Sootopolis City,TM - Sludge Wave,"$30,000"
Hoenn,Sootopolis City,TM - Flamethrower,"$30,000"
Hoenn,Sootopolis City,TM - Sludge Bomb,"$30,000"
Hoenn,Sootopolis City,TM - Fire Blast,"$25,000"
Hoenn,Sootopolis City,TM - Focus Blast,"$25,000"
Hoenn,Sootopolis City,TM - Energy Ball,"$30,000"
Hoenn,Sootopolis City,TM - Scald,"$25,000"
Hoenn,Sootopolis City,TM - Will-O-Wisp,"$25,000"
Hoenn,Sootopolis City,TM - Stone Edge,"$25,000"
Hoenn,Sootopolis City,TM - Volt Switch,"$30,000"
Hoenn,Sootopolis City,TM - Thunder Wave,"$25,000"
Hoenn,Sootopolis City,TM - Swords Dance,"$30,000"
Hoenn,Sootopolis City,TM - U-turn,"$30,000"
Hoenn,Sootopolis City,TM - Substitute,"$30,000"
Hoenn,Sootopolis City,TM - Flash Cannon,"$25,000"
Hoenn,Sootopolis City,TM - Trick Room,"$20,000"
Hoenn,Sootopolis City,TM - Wild Charge,"$25,000"
