Region,Location,Item,Price
Hoenn,Trainer Hill,Potion,200 PokéYen
Hoenn,Trainer Hill,Super Potion,600 PokéYen
Hoenn,Trainer Hill,Antidote,200 PokéYen
Hoenn,Trainer Hill,Parlyz Heal,300 PokéYen
Hoenn,Trainer Hill,Awakening,300 PokéYen
Hoenn,Trainer Hill,X Attack,2000 PokéYen
Hoenn,Trainer Hill,X Special,2000 PokéYen
Hoenn,Trainer Hill,Dire Hit,1500 PokéYen
Hoenn,Trainer Hill,X Defend,2500 PokéYen
Hoenn,Trainer Hill,X Sp. Def,2500 PokéYen
Hoenn,Trainer Hill,Guard Spec,1500 PokéYen
Hoenn,Trainer Hill,X Speed,2000 PokéYen
Hoenn,Trainer Hill,X Accuracy,1500 PokéYen
