Region,Location,Item,Price
Hoenn,Verdanturf Town,Poké Ball,200 PokéYen
Hoenn,Verdanturf Town,Great Ball,600 PokéYen
Hoenn,Verdanturf Town,Nest Ball,1000 PokéYen
Hoenn,Verdanturf Town,Luxury Ball,1000 PokéYen
Hoenn,Verdanturf Town,Potion,200 PokéYen
Hoenn,Verdanturf Town,Super Potion,600 PokéYen
Hoenn,Verdanturf Town,Antidote,200 PokéYen
Hoenn,Verdanturf Town,Parlyz Heal,300 PokéYen
Hoenn,Verdanturf Town,Awakening,300 PokéYen
Hoenn,Verdanturf Town,Burn Heal,300 PokéYen
Hoenn,Verdanturf Town,Ice Heal,300 PokéYen
Hoenn,Verdanturf Town,Repel,400 PokéYen
Hoenn,Verdanturf Town,Lure,600 PokéYen
Hoenn,Verdanturf Town,Fluffy Tail,10000 PokéYen
