Region,Location,Item,Price
Johto,Game Corner,Silk Scarf,"2,500 Coins / $12,500 PokéYen"
Johto,Game Corner,Wide Lens,"2,500 Coins / $12,500 PokéYen"
Johto,Game Corner,Zoom Lens,"2,500 Coins / $12,500 PokéYen"
Johto,Game Corner,Metronome,"2,500 Coins / $12,500 PokéYen"
Johto,Game Corner,TM Ice Beam,"6,000 Coins / $30,000 PokéYen"
Johto,Game Corner,TM Flamethrower,"6,000 Coins / $30,000 PokéYen"
Johto,Game Corner,TM Thunderbolt,"6,000 Coins / $30,000 PokéYen"
Johto,Game Corner,TM Blizzard,"5,000 Coins / $25,000 PokéYen"
Johto,Game Corner,TM Fire Blast,"5,000 Coins / $25,000 PokéYen"
Johto,Game Corner,TM Thunder,"5,000 Coins / $25,000 PokéYen"
Johto,Game Corner,TM U-Turn,"6,000 Coins / $30,000 PokéYen"
Johto,Game Corner,TM Gyro Ball,"6,000 Coins / $30,000 PokéYen"
Johto,Game Corner,TM Rest,"4,000 Coins / $20,000 PokéYen"
Johto,Game Corner,TM Psychic,"6,000 Coins / $30,000 PokéYen"
Johto,Game Corner,TM Substitute,"6,000 Coins / $30,000 PokéYen"
Johto,Game Corner,TM Sword Dance,"6,000 Coins / $30,000 PokéYen"
Johto,Game Corner,Tuxedo,"6,000 Coins / $30,000 PokéYen"
Johto,Game Corner,Mystery Box,"9,999 Coins / $49,995 PokéYen"
