Region,Location,Item,Price
Johto,Goldenrod City Department Store - 2F,Potion,200 PokéYen
Johto,Goldenrod City Department Store - 2F,Super Potion,600 PokéYen
Johto,Goldenrod City Department Store - 2F,Revive,3250 PokéYen
Johto,Goldenrod City Department Store - 2F,Antidote,200 PokéYen
Johto,Goldenrod City Department Store - 2F,Parlyz Heal,300 PokéYen
Johto,Goldenrod City Department Store - 2F,Burn Heal,300 PokéYen
Johto,Goldenrod City Department Store - 2F,Ice Heal,300 PokéYen
Johto,Goldenrod City Department Store - 2F,Awakening,300 PokéYen
Johto,Goldenrod City Department Store - 2F,Full Heal,3500 PokéYen
Johto,Goldenrod City Department Store - 2F,Poké Ball,200 PokéYen
Johto,Goldenrod City Department Store - 2F,Great Ball,600 PokéYen
Johto,Goldenrod City Department Store - 2F,Escape Rope,750 PokéYen
Johto,Goldenrod City Department Store - 2F,Poké Doll,300 PokéYen
Johto,Goldenrod City Department Store - 2F,Repel,400 PokéYen
Johto,Goldenrod City Department Store - 2F,Super Repel,750 PokéYen
Johto,Goldenrod City Department Store - 2F,Max Repel,900 PokéYen
Johto,Goldenrod City Department Store - 2F,Lure,600 PokéYen
Johto,Goldenrod City Department Store - 2F,Super Lure,1200 PokéYen
Johto,Goldenrod City Department Store - 2F,Expert Lure,1500 PokéYen
Johto,Goldenrod City Department Store - 2F,Grass Mail, PokéYen
Johto,Goldenrod City Department Store - 2F,Flame Mail, PokéYen
