Region,Location,Item,Price
Kanto,Celadon City Department Store - 2F,Poké Ball,200 PokéYen
Kanto,Celadon City Department Store - 2F,Great Ball,600 PokéYen
Kanto,Celadon City Department Store - 2F,Potion,200 PokéYen
Kanto,Celadon City Department Store - 2F,Super Potion,600 PokéYen
Kanto,Celadon City Department Store - 2F,Revive,3250 PokéYen
Kanto,Celadon City Department Store - 2F,Antidote,200 PokéYen
Kanto,Celadon City Department Store - 2F,Parlyz Heal,300 PokéYen
Kanto,Celadon City Department Store - 2F,Awakening,300 PokéYen
Kanto,Celadon City Department Store - 2F,Burn Heal,300 PokéYen
Kanto,Celadon City Department Store - 2F,Ice Heal,300 PokéYen
Kanto,Celadon City Department Store - 2F,Escape Rope,750 PokéYen
Kanto,Celadon City Department Store - 2F,Repel,400 PokéYen
Kanto,Celadon City Department Store - 2F,Super Repel,750 PokéYen
Kanto,Celadon City Department Store - 2F,Lure,600 PokéYen
Kanto,Celadon City Department Store - 2F,Super Lure,1200 PokéYen
