Region,Location,Item,Price
Kanto,Celadon City Department Store - 2F (Before 8 Gym Badges),TM - Secret Power,"$10,000"
Kanto,Celadon City Department Store - 2F (Before 8 Gym Badges),TM - Focus Punch,"$17,500"
Kanto,Celadon City Department Store - 2F (Before 8 Gym Badges),TM - Iron Tail,"$17,500"
Kanto,Celadon City Department Store - 2F (Before 8 Gym Badges),TM - Steel Wing,"$12,500"
Kanto,Celadon City Department Store - 2F (Before 8 Gym Badges),TM - Water Pulse,"$10,000"
Kanto,Celadon City Department Store - 2F (Before 8 Gym Badges),TM - Bullet Seed,"$15,000"
Kanto,Celadon City Department Store - 2F (Before 8 Gym Badges),TM - Giga Drain,"$25,000"
Kanto,Celadon City Department Store - 2F (Before 8 Gym Badges),TM - Shock Wave,"$10,000"
Kanto,Celadon City Department Store - 2F (Before 8 Gym Badges),TM - Skill Swap,"$12,500"
Kanto,Celadon City Department Store - 2F (Before 8 Gym Badges),TM - Snatch,"$12,500"
Kanto,Celadon City Department Store - 2F (Before 8 Gym Badges),TM - Counter,-
