Region,Location,Item,Price
Kanto,Cinnabar Island,Poké Ball,200 PokéYen
Kanto,Cinnabar Island,Great Ball,600 PokéYen
Kanto,Cinnabar Island,Ultra Ball,1200 PokéYen
Kanto,Cinnabar Island,Potion,200 PokéYen
Kanto,Cinnabar Island,Super Potion,600 PokéYen
Kanto,Cinnabar Island,Hyper Potion,1200 PokéYen
Kanto,Cinnabar Island,Revive,3250 PokéYen
Kanto,Cinnabar Island,X Attack,2000 PokéYen
Kanto,Cinnabar Island,X Special,2000 PokéYen
Kanto,Cinnabar Island,Dire Hit,1500 PokéYen
Kanto,Cinnabar Island,X Defend,2500 PokéYen
Kanto,Cinnabar Island,X Sp. Def,2500 PokéYen
Kanto,Cinnabar Island,Guard Spec,1500 PokéYen
Kanto,Cinnabar Island,X Speed,2000 PokéYen
Kanto,Cinnabar Island,X Accuracy,1500 PokéYen
Kanto,Cinnabar Island,Antidote,200 PokéYen
Kanto,Cinnabar Island,Parlyz Heal,300 PokéYen
Kanto,Cinnabar Island,Awakening,300 PokéYen
Kanto,Cinnabar Island,Burn Heal,300 PokéYen
Kanto,Cinnabar Island,Ice Heal,300 PokéYen
Kanto,Cinnabar Island,Escape Rope,750 PokéYen
Kanto,Cinnabar Island,Repel,400 PokéYen
Kanto,Cinnabar Island,Super Repel,750 PokéYen
Kanto,Cinnabar Island,Max Repel,900 PokéYen
Kanto,Cinnabar Island,Lure,600 PokéYen
Kanto,Cinnabar Island,Super Lure,1200 PokéYen
Kanto,Cinnabar Island,Expert Lure,1500 PokéYen
Kanto,Cinnabar Island,TM - Dragon Claw,"$25,000"
Kanto,Cinnabar Island,TM - Psyshock,"$25,000"
Kanto,Cinnabar Island,TM - Calm Mind,"$20,000"
Kanto,Cinnabar Island,TM - Toxic,"$25,000"
Kanto,Cinnabar Island,TM - Bulk Up,"$20,000"
Kanto,Cinnabar Island,TM - Ice Beam,"$30,000"
Kanto,Cinnabar Island,TM - Blizzard,"$25,000"
Kanto,Cinnabar Island,TM - Light Screen,"$20,000"
Kanto,Cinnabar Island,TM - Thunderbolt,"$30,000"
Kanto,Cinnabar Island,TM - Thunder,"$25,000"
Kanto,Cinnabar Island,TM - Earthquake,"$30,000"
Kanto,Cinnabar Island,TM - Return,"$20,000"
Kanto,Cinnabar Island,TM - Psychic,"$30,000"
Kanto,Cinnabar Island,TM - Shadow Ball,"$25,000"
Kanto,Cinnabar Island,TM - Reflect,"$20,000"
Kanto,Cinnabar Island,TM - Sludge Wave,"$30,000"
Kanto,Cinnabar Island,TM - Flamethrower,"$30,000"
Kanto,Cinnabar Island,TM - Sludge Bomb,"$30,000"
Kanto,Cinnabar Island,TM - Fire Blast,"$25,000"
Kanto,Cinnabar Island,TM - Focus Blast,"$25,000"
Kanto,Cinnabar Island,TM - Energy Ball,"$30,000"
Kanto,Cinnabar Island,TM - Scald,"$25,000"
Kanto,Cinnabar Island,TM - Will-O-Wisp,"$25,000"
Kanto,Cinnabar Island,TM - Stone Edge,"$25,000"
Kanto,Cinnabar Island,TM - Volt Switch,"$30,000"
Kanto,Cinnabar Island,TM - Thunder Wave,"$25,000"
Kanto,Cinnabar Island,TM - Swords Dance,"$30,000"
Kanto,Cinnabar Island,TM - U-turn,"$30,000"
Kanto,Cinnabar Island,TM - Substitute,"$30,000"
Kanto,Cinnabar Island,TM - Flash Cannon,"$25,000"
Kanto,Cinnabar Island,TM - Trick Room,"$20,000"
Kanto,Cinnabar Island,TM - Wild Charge,"$25,000"
