Region,Location,Item,Price
Kanto,Fuchsia City,Poké Ball,200 PokéYen
Kanto,Fuchsia City,Great Ball,600 PokéYen
Kanto,Fuchsia City,Ultra Ball,1200 PokéYen
Kanto,Fuchsia City,Potion,200 PokéYen
Kanto,Fuchsia City,Super Potion,600 PokéYen
Kanto,Fuchsia City,Hyper Potion,1200 PokéYen
Kanto,Fuchsia City,Revive,3250 PokéYen
Kanto,Fuchsia City,X Attack,2000 PokéYen
Kanto,Fuchsia City,X Special,2000 PokéYen
Kanto,Fuchsia City,Dire Hit,1500 PokéYen
Kanto,Fuchsia City,X Defend,2500 PokéYen
Kanto,Fuchsia City,X Sp. Def,2500 PokéYen
Kanto,Fuchsia City,Guard Spec,1500 PokéYen
Kanto,Fuchsia City,X Speed,2000 PokéYen
Kanto,Fuchsia City,X Accuracy,1500 PokéYen
Kanto,Fuchsia City,Antidote,200 PokéYen
Kanto,Fuchsia City,Parlyz Heal,300 PokéYen
Kanto,Fuchsia City,Awakening,300 PokéYen
Kanto,Fuchsia City,Burn Heal,300 PokéYen
Kanto,Fuchsia City,Ice Heal,300 PokéYen
Kanto,Fuchsia City,Escape Rope,750 PokéYen
Kanto,Fuchsia City,Repel,400 PokéYen
Kanto,Fuchsia City,Super Repel,750 PokéYen
Kanto,Fuchsia City,Max Repel,900 PokéYen
Kanto,Fuchsia City,Lure,600 PokéYen
Kanto,Fuchsia City,Super Lure,1200 PokéYen
Kanto,Fuchsia City,Expert Lure,1500 PokéYen
