Region,Location,Item,Price
Kanto,Lavender Town,Poké Ball,200 PokéYen
Kanto,Lavender Town,Great Ball,600 PokéYen
Kanto,Lavender Town,Potion,200 PokéYen
Kanto,Lavender Town,Super Potion,600 PokéYen
Kanto,Lavender Town,Revive,3250 PokéYen
Kanto,Lavender Town,Antidote,200 PokéYen
Kanto,Lavender Town,Parlyz Heal,300 PokéYen
Kanto,Lavender Town,Awakening,300 PokéYen
Kanto,Lavender Town,Burn Heal,300 PokéYen
Kanto,Lavender Town,Ice Heal,300 PokéYen
Kanto,Lavender Town,Escape Rope,750 PokéYen
Kanto,Lavender Town,Repel,400 PokéYen
Kanto,Lavender Town,Super Repel,750 PokéYen
Kanto,Lavender Town,Lure,600 PokéYen
Kanto,Lavender Town,Super Lure,1200 PokéYen
