Region,Location,Item,Price
Kanto,Saffron City,Poké Ball,200 PokéYen
Kanto,Saffron City,Great Ball,600 PokéYen
Kanto,Saffron City,Potion,200 PokéYen
Kanto,Saffron City,Super Potion,600 PokéYen
Kanto,Saffron City,Hyper Potion,1200 PokéYen
Kanto,Saffron City,Revive,3250 PokéYen
Kanto,Saffron City,X Attack,2000 PokéYen
Kanto,Saffron City,X Special,2000 PokéYen
Kanto,Saffron City,Dire Hit,1500 PokéYen
Kanto,Saffron City,X Defend,2500 PokéYen
Kanto,Saffron City,X Sp. Def,2500 PokéYen
Kanto,Saffron City,Guard Spec,1500 PokéYen
Kanto,Saffron City,X Speed,2000 PokéYen
Kanto,Saffron City,X Accuracy,1500 PokéYen
Kanto,Saffron City,Antidote,200 PokéYen
Kanto,Saffron City,Parlyz Heal,300 PokéYen
Kanto,Saffron City,Awakening,300 PokéYen
Kanto,Saffron City,Burn Heal,300 PokéYen
Kanto,Saffron City,Ice Heal,300 PokéYen
Kanto,Saffron City,Escape Rope,750 PokéYen
Kanto,Saffron City,Repel,400 PokéYen
Kanto,Saffron City,Super Repel,750 PokéYen
Kanto,Saffron City,Max Repel,900 PokéYen
Kanto,Saffron City,Lure,600 PokéYen
Kanto,Saffron City,Super Lure,1200 PokéYen
Kanto,Saffron City,Expert Lure,1500 PokéYen
Kanto,Saffron City,TM - Venoshock,"$12,500"
Kanto,Saffron City,TM - Hidden Power,"$30,000"
Kanto,Saffron City,TM - Sunny Day,"$12,500"
Kanto,Saffron City,TM - Taunt,"$17,500"
Kanto,Saffron City,TM - Hyper Beam,"$17,500"
Kanto,Saffron City,TM - Rain Dance,"$17,500"
Kanto,Saffron City,TM - SolarBeam,"$17,500"
Kanto,Saffron City,TM - Torment,"$12,500"
Kanto,Saffron City,TM - Facade,"$17,500"
Kanto,Saffron City,TM - Rest,"$25,000"
Kanto,Saffron City,TM - Overheat,"$20,000"
Kanto,Saffron City,TM - Ally Switch,"$10,000"
Kanto,Saffron City,TM - Charge Beam,"$12,500"
Kanto,Saffron City,TM - Quash,"$12,500"
Kanto,Saffron City,TM - Acrobatics,"$17,500"
Kanto,Saffron City,TM - Embargo,"$10,000"
Kanto,Saffron City,TM - Explosion,"$17,500"
Kanto,Saffron City,TM - Shadow Claw,"$17,500"
Kanto,Saffron City,TM - Payback,"$17,500"
Kanto,Saffron City,TM - Retaliate,"$12,500"
Kanto,Saffron City,TM - Giga Impact,"$17,500"
Kanto,Saffron City,TM - Rock Polish,"$17,500"
Kanto,Saffron City,TM - Gyro Ball,"$25,000"
Kanto,Saffron City,TM - Psych Up,"$12,500"
Kanto,Saffron City,TM - Frost Breath,"$17,500"
Kanto,Saffron City,TM - Rock Slide,"$17,500"
Kanto,Saffron City,TM - X-Scissor,"$25,000"
Kanto,Saffron City,TM - Dragon Tail,"$17,500"
Kanto,Saffron City,TM - Poison Jab,"$17,500"
Kanto,Saffron City,TM - Grass Knot,"$25,000"
Kanto,Saffron City,TM - Swagger,"$12,500"
