Region,Location,Item,Price
Kanto,Three Island,Poké Ball,200 PokéYen
Kanto,Three Island,Great Ball,600 PokéYen
Kanto,Three Island,Ultra Ball,1200 PokéYen
Kanto,Three Island,Potion,200 PokéYen
Kanto,Three Island,Super Potion,600 PokéYen
Kanto,Three Island,Hyper Potion,1200 PokéYen
Kanto,Three Island,Revive,3250 PokéYen
Kanto,Three Island,X Attack,2000 PokéYen
Kanto,Three Island,X Special,2000 PokéYen
Kanto,Three Island,Dire Hit,1500 PokéYen
Kanto,Three Island,X Defend,2500 PokéYen
Kanto,Three Island,X Sp. Def,2500 PokéYen
Kanto,Three Island,Guard Spec,1500 PokéYen
Kanto,Three Island,X Speed,2000 PokéYen
Kanto,Three Island,X Accuracy,1500 PokéYen
Kanto,Three Island,Antidote,200 PokéYen
Kanto,Three Island,Parlyz Heal,300 PokéYen
Kanto,Three Island,Awakening,300 PokéYen
Kanto,Three Island,Burn Heal,300 PokéYen
Kanto,Three Island,Ice Heal,300 PokéYen
Kanto,Three Island,Escape Rope,750 PokéYen
Kanto,Three Island,Repel,400 PokéYen
Kanto,Three Island,Super Repel,750 PokéYen
Kanto,Three Island,Max Repel,900 PokéYen
Kanto,Three Island,Lure,600 PokéYen
Kanto,Three Island,Super Lure,1200 PokéYen
Kanto,Three Island,Expert Lure,1500 PokéYen
