Region,Location,Item,Price
Kanto,Trainer Tower,Mental Herb,85 BP
Kanto,Trainer Tower,White Herb,100 BP
Kanto,Trainer Tower,Power Herb,100 BP
Kanto,Trainer Tower,Absorb Bulb,100 BP
Kanto,Trainer Tower,Cell Battery,100 BP
Kanto,Trainer Tower,Red Card,100 BP
Kanto,Trainer Tower,Eject Button,100 BP
Kanto,Trainer Tower,Air Balloon,100 BP
Kanto,Trainer Tower,Focus Sash,100 BP
Kanto,Trainer Tower,Life Orb,"6,400 BP"
Kanto,Trainer Tower,Toxic Orb,"6,400 BP"
Kanto,Trainer Tower,Flame Orb,"6,400 BP"
Kanto,Trainer Tower,Leftovers,"4,800 BP"
Kanto,Trainer Tower,Wise Glasses,"4,800 BP"
Kanto,Trainer Tower,Scope Lens,"4,800 BP"
Kanto,Trainer Tower,Zoom Lens,"4,800 BP"
Kanto,Trainer Tower,Wide Lens,"4,800 BP"
Kanto,Trainer Tower,Muscle Band,"4,800 BP"
Kanto,Trainer Tower,Rocky Helmet,"4,800 BP"
Kanto,Trainer Tower,Focus Band,"3,200 BP"
Kanto,Trainer Tower,Choice Band,"9,800 BP"
Kanto,Trainer Tower,Choice Scarf,"9,800 BP"
Kanto,Trainer Tower,Choice Specs,"9,800 BP"
Kanto,Trainer Tower,Eviolite,"9,800 BP"
Kanto,Trainer Tower,Assault Gear,"9,800 BP"
Kanto,Trainer Tower,Dubious Disc,"4,800 BP"
Kanto,Trainer Tower,Up-Grade,"3,200 BP"
Kanto,Trainer Tower,Razor Claw,"4,800 BP"
Kanto,Trainer Tower,Razor Fang,"4,800 BP"
Kanto,Trainer Tower,BrightPowder,"3,200 BP"
Kanto,Trainer Tower,Iron Ball,"4,800 BP"
Kanto,Trainer Tower,Ring Target,"4,800 BP"
Kanto,Trainer Tower,Binding Band,"4,800 BP"
Kanto,Trainer Tower,Reinforced Boots,"9,800 BP"
Kanto,Trainer Tower,Punching Gloves,"6,400 BP"
Kanto,Trainer Tower,Covert Mantle,"6,400 BP"
Kanto,Trainer Tower,Loaded Dice,"4,800 BP"
Kanto,Trainer Tower,Safety Goggles,"4,800 BP"
Kanto,Trainer Tower,Protective Pads,"4,800 BP"
Kanto,Trainer Tower,Pure Amulet,"9,800 BP"
Kanto,Trainer Tower,Type Policy,85 BP
Kanto,Trainer Tower,Throat Spray,100 BP
Kanto,Trainer Tower,Room Service,100 BP
Kanto,Trainer Tower,Snowball,100 BP
Kanto,Trainer Tower,Glowing Moss,100 BP
Kanto,Trainer Tower,Eject Pack,100 BP
Kanto,Trainer Tower,PVP Mystery Box,"7,500 BP"
Kanto,Trainer Tower,Health Wing,150 BP
Kanto,Trainer Tower,Muscle Wing,150 BP
Kanto,Trainer Tower,Resist Wing,150 BP
Kanto,Trainer Tower,Genius Wing,150 BP
Kanto,Trainer Tower,Clever Wing,150 BP
Kanto,Trainer Tower,Swift Wing,150 BP
Kanto,Trainer Tower,Pretty Wing,150 BP
Kanto,Trainer Tower,HP Up,275 BP
Kanto,Trainer Tower,Protein,275 BP
Kanto,Trainer Tower,Calcium,275 BP
Kanto,Trainer Tower,Iron,275 BP
Kanto,Trainer Tower,Zinc,275 BP
Kanto,Trainer Tower,Carbos,275 BP
Kanto,Trainer Tower,Power Weight,750 BP
Kanto,Trainer Tower,Power Bracer,750 BP
Kanto,Trainer Tower,Power Belt,750 BP
Kanto,Trainer Tower,Power Lens,750 BP
Kanto,Trainer Tower,Power Band,750 BP
Kanto,Trainer Tower,Power Anklet,750 BP
Kanto,Trainer Tower,Ability Pill,"2,250 BP"
Kanto,Trainer Tower,Mud Ball,200 BP
Kanto,Trainer Tower,Fence Length,500 BP
Kanto,Trainer Tower,Fence Width,500 BP
Kanto,Trainer Tower,Tire,"1,200 BP"
Kanto,Trainer Tower,Solid Board,"3,200 BP"
Kanto,Trainer Tower,Sand Ornament,"3,200 BP"
Kanto,Trainer Tower,Breakable Door,"3,200 BP"
Kanto,Trainer Tower,TV,"3,200 BP"
Kanto,Trainer Tower,Round TV,"4,200 BP"
Kanto,Trainer Tower,Cute TV,"4,200 BP"
Kanto,Trainer Tower,Stand,"8,000 BP"
Kanto,Trainer Tower,Slide,"8,000 BP"
Kanto,Trainer Tower,Wailmer Doll,"12,800 BP"
Kanto,Trainer Tower,Rhydon Doll,"12,800 BP"
Kanto,Trainer Tower,Kiss Poster,"1,600 BP"
Kanto,Trainer Tower,Kiss Cushion,"3,200 BP"
Kanto,Trainer Tower,Smoochum Doll,"3,200 BP"
Kanto,Trainer Tower,Togepi Doll,"4,800 BP"
Kanto,Trainer Tower,Meowth Doll,"4,800 BP"
Kanto,Trainer Tower,Clefairy Doll,"4,800 BP"
Kanto,Trainer Tower,Ditto Doll,"4,800 BP"
Kanto,Trainer Tower,Cyndaquil Doll,"8,000 BP"
Kanto,Trainer Tower,Chikorita Doll,"8,000 BP"
Kanto,Trainer Tower,Totodile Doll,"8,000 BP"
Kanto,Trainer Tower,Lapras Doll,"12,800 BP"
Kanto,Trainer Tower,Snorlax Doll,"12,800 BP"
Kanto,Trainer Tower,Venusaur Doll,"25,600 BP"
Kanto,Trainer Tower,Charizard Doll,"25,600 BP"
Kanto,Trainer Tower,Blastoise Doll,"25,600 BP"
