Region,Location,Item,Price
Kanto,Vermilion City,Poké Ball,200 PokéYen
Kanto,Vermilion City,Potion,200 PokéYen
Kanto,Vermilion City,Super Potion,600 PokéYen
Kanto,Vermilion City,Antidote,200 PokéYen
Kanto,Vermilion City,Parlyz Heal,300 PokéYen
Kanto,Vermilion City,Awakening,300 PokéYen
Kanto,Vermilion City,Burn Heal,300 PokéYen
Kanto,Vermilion City,Ice Heal,300 PokéYen
Kanto,Vermilion City,Escape Rope,750 PokéYen
Kanto,Vermilion City,Repel,400 PokéYen
Kanto,Vermilion City,Lure,600 PokéYen
Kanto,Vermilion City,TM - Hone Claws,"$17,500"
Kanto,Vermilion City,TM - Roar,"$25,000"
Kanto,Vermilion City,TM - Snowscape,"$10,000"
Kanto,Vermilion City,TM - Protect,"$25,000"
Kanto,Vermilion City,TM - Telekinesis,"$10,000"
Kanto,Vermilion City,TM - Safeguard,"$12,500"
Kanto,Vermilion City,TM - Frustration,"$17,500"
Kanto,Vermilion City,TM - Smack Down,"$12,500"
Kanto,Vermilion City,TM - Dig,"$10,000"
Kanto,Vermilion City,TM - Brick Break,"$17,500"
Kanto,Vermilion City,TM - Double Team,"$10,000"
Kanto,Vermilion City,TM - Sandstorm,"$10,000"
Kanto,Vermilion City,TM - Rock Tomb,"$12,500"
Kanto,Vermilion City,TM - Aerial Ace,"$12,500"
Kanto,Vermilion City,TM - Flame Charge,"$17,500"
Kanto,Vermilion City,TM - Attract,"$10,000"
Kanto,Vermilion City,TM - Thief,"$10,000"
Kanto,Vermilion City,TM - Low Sweep,"$17,500"
Kanto,Vermilion City,TM - Round,"$10,000"
Kanto,Vermilion City,TM - Echoed Voice,"$10,000"
Kanto,Vermilion City,TM - False Swipe,"$10,000"
Kanto,Vermilion City,TM - Fling,"$12,500"
Kanto,Vermilion City,TM - Sky Drop,"$12,500"
Kanto,Vermilion City,TM - Incinerate,"$10,000"
Kanto,Vermilion City,TM - Struggle Bug,"$12,500"
Kanto,Vermilion City,TM - Bulldoze,"$12,500"
Kanto,Vermilion City,TM - Work Up,"$17,500"
Kanto,Vermilion City,TM - Dream Eater,"$10,000"
Kanto,Vermilion City,TM - Pluck,"$12,500"
Kanto,Vermilion City,TM - Snarl,"$12,500"
