Region,Location,Item,Price
Kanto,Viridian City,Poké Ball,200 PokéYen
Kanto,Viridian City,Potion,200 PokéYen
Kanto,Viridian City,Antidote,200 PokéYen
Kanto,Viridian City,Parlyz Heal,300 PokéYen
Kanto,Viridian City,Burn Heal,300 PokéYen
Kanto,Pewter City,Poké Ball,200 PokéYen
Kanto,Pewter City,Potion,200 PokéYen
Kanto,Pewter City,Antidote,200 PokéYen
Kanto,Pewter City,Parlyz Heal,300 PokéYen
Kanto,Pewter City,Awakening,300 PokéYen
Kanto,Pewter City,Burn Heal,300 PokéYen
Kanto,Pewter City,Escape Rope,750 PokéYen
Kanto,Pewter City,Repel,400 PokéYen
Kanto,Pewter City,Lure,600 PokéYen
Kanto,Cerulean City,Poké Ball,200 PokéYen
Kanto,Cerulean City,Potion,200 PokéYen
Kanto,Cerulean City,Super Potion,600 PokéYen
Kanto,Cerulean City,Antidote,200 PokéYen
Kanto,Cerulean City,Parlyz Heal,300 PokéYen
Kanto,Cerulean City,Awakening,300 PokéYen
Kanto,Cerulean City,Burn Heal,300 PokéYen
Kanto,Cerulean City,Escape Rope,750 PokéYen
Kanto,Cerulean City,Repel,400 PokéYen
Kanto,Cerulean City,Lure,600 PokéYen
Kanto,Vermilion City,Poké Ball,200 PokéYen
Kanto,Vermilion City,Potion,200 PokéYen
Kanto,Vermilion City,Super Potion,600 PokéYen
Kanto,Vermilion City,Antidote,200 PokéYen
Kanto,Vermilion City,Parlyz Heal,300 PokéYen
Kanto,Vermilion City,Awakening,300 PokéYen
Kanto,Vermilion City,Burn Heal,300 PokéYen
Kanto,Vermilion City,Ice Heal,300 PokéYen
Kanto,Vermilion City,Escape Rope,750 PokéYen
Kanto,Vermilion City,Repel,400 PokéYen
Kanto,Vermilion City,Lure,600 PokéYen
Kanto,Lavender Town,Poké Ball,200 PokéYen
Kanto,Lavender Town,Great Ball,600 PokéYen
Kanto,Lavender Town,Potion,200 PokéYen
Kanto,Lavender Town,Super Potion,600 PokéYen
Kanto,Lavender Town,Revive,3250 PokéYen
Kanto,Lavender Town,Antidote,200 PokéYen
Kanto,Lavender Town,Parlyz Heal,300 PokéYen
Kanto,Lavender Town,Awakening,300 PokéYen
Kanto,Lavender Town,Burn Heal,300 PokéYen
Kanto,Lavender Town,Ice Heal,300 PokéYen
Kanto,Lavender Town,Escape Rope,750 PokéYen
Kanto,Lavender Town,Repel,400 PokéYen
Kanto,Lavender Town,Super Repel,750 PokéYen
Kanto,Lavender Town,Lure,600 PokéYen
Kanto,Lavender Town,Super Lure,1200 PokéYen
Kanto,Saffron City,Poké Ball,200 PokéYen
Kanto,Saffron City,Great Ball,600 PokéYen
Kanto,Saffron City,Potion,200 PokéYen
Kanto,Saffron City,Super Potion,600 PokéYen
Kanto,Saffron City,Hyper Potion,1200 PokéYen
Kanto,Saffron City,Revive,3250 PokéYen
Kanto,Saffron City,X Attack,2000 PokéYen
Kanto,Saffron City,X Special,2000 PokéYen
Kanto,Saffron City,Dire Hit,1500 PokéYen
Kanto,Saffron City,X Defend,2500 PokéYen
Kanto,Saffron City,X Sp. Def,2500 PokéYen
