Region,Location,Item,Price
Sinnoh,All Marts (1 Badge),Net Ball,1350 PokéYen
Sinnoh,All Marts (1 Badge),Nest Ball,1000 PokéYen
Sinnoh,All Marts (1 Badge),Super Potion,600 PokéYen
Sinnoh,All Marts (1 Badge),Repel,400 PokéYen
Sinnoh,All Marts (1 Badge),Lure,600 PokéYen
Sinnoh,All Marts (1 Badge),Awakening,300 PokéYen
Sinnoh,All Marts (1 Badge),Burn Heal,300 PokéYen
Sinnoh,All Marts (1 Badge),Ice Heal,300 PokéYen
Sinnoh,All Marts (1 Badge),Escape Rope,750 PokéYen
Sinnoh,All Marts (1 Badge),Bloom Mail, PokéYen
