Region,Location,Item,Price
Sinnoh,All Marts (3 Badges),Poké Doll,300 PokéYen
Sinnoh,All Marts (3 Badges),Super Repel,750 PokéYen
Sinnoh,All Marts (3 Badges),Super Lure,1200 PokéYen
Sinnoh,All Marts (3 Badges),X Attack,2000 PokéYen
Sinnoh,All Marts (3 Badges),X Special,2000 PokéYen
Sinnoh,All Marts (3 Badges),X Defend,2500 PokéYen
Sinnoh,All Marts (3 Badges),X Sp. Def,2500 PokéYen
Sinnoh,All Marts (3 Badges),X Speed,2000 PokéYen
Sinnoh,All Marts (3 Badges),X Accuracy,1500 PokéYen
Sinnoh,All Marts (3 Badges),Dire Hit,1500 PokéYen
Sinnoh,All Marts (3 Badges),Guard Spec,1500 PokéYen
