Region,Location,Item,Price
Sinnoh,Game Corner,Wide Lens,"6,000 Coins / $30,000 PokéYen"
Sinnoh,Game Corner,Zoom Lens,"6,000 Coins / $30,000 PokéYen"
Sinnoh,Game Corner,Metronome,"6,000 Coins / $30,000 PokéYen"
Sinnoh,Game Corner,TM Ice Beam,"6,000 Coins / $30,000 PokéYen"
Sinnoh,Game Corner,TM Flamethrower,"6,000 Coins / $30,000 PokéYen"
Sinnoh,Game Corner,TM Thunderbolt,"6,000 Coins / $30,000 PokéYen"
Sinnoh,Game Corner,TM U-Turn,"6,000 Coins / $30,000 PokéYen"
Sinnoh,Game Corner,TM Gyro Ball,"6,000 Coins / $30,000 PokéYen"
Sinnoh,Game Corner,TM Rest,"6,000 Coins / $30,000 PokéYen"
Sinnoh,Game Corner,TM Psychic,"6,000 Coins / $30,000 PokéYen"
Sinnoh,Game Corner,TM Substitute,"6,000 Coins / $30,000 PokéYen"
Sinnoh,Game Corner,TM Endure,"6,000 Coins / $30,000 PokéYen"
Sinnoh,Game Corner,TM Sword Dance,"6,000 Coins / $30,000 PokéYen"
Sinnoh,Game Corner,TM Double Team,"6,000 Coins / $30,000 PokéYen"
Sinnoh,Game Corner,TM Hidden Power,"6,000 Coins / $30,000 PokéYen"
Sinnoh,Game Corner,TM Return,"6,000 Coins / $30,000 PokéYen"
Sinnoh,Game Corner,TM Frustration,"6,000 Coins / $30,000 PokéYen"
Sinnoh,Game Corner,TM Giga Impact,"6,000 Coins / $30,000 PokéYen"
Sinnoh,Game Corner,Tuxedo,"6,000 Coins / $30,000 PokéYen"
Sinnoh,Game Corner,Mystery Box,"9,999 Coins / $49,995 PokéYen"
