Region,Location,Item,Price
Sinnoh,Veilstone Department Store - 1F,Potion,200 PokéYen
Sinnoh,Veilstone Department Store - 1F,Super Potion,600 PokéYen
Sinnoh,Veilstone Department Store - 1F,Hyper Potion,1200 PokéYen
Sinnoh,Veilstone Department Store - 1F,Revive,3250 PokéYen
Sinnoh,Veilstone Department Store - 1F,Antidote,200 PokéYen
Sinnoh,Veilstone Department Store - 1F,Parlyz Heal,300 PokéYen
Sinnoh,Veilstone Department Store - 1F,Awakening,300 PokéYen
Sinnoh,Veilstone Department Store - 1F,Burn Heal,300 PokéYen
Sinnoh,Veilstone Department Store - 1F,Ice Heal,300 PokéYen
Sinnoh,Veilstone Department Store - 1F,Poké Ball,200 PokéYen
Sinnoh,Veilstone Department Store - 1F,Great Ball,600 PokéYen
Sinnoh,Veilstone Department Store - 1F,Ultra Ball,1200 PokéYen
Sinnoh,Veilstone Department Store - 1F,Heal Ball,300 PokéYen
Sinnoh,Veilstone Department Store - 1F,Net Ball,1350 PokéYen
Sinnoh,Veilstone Department Store - 1F,Nest Ball,1000 PokéYen
Sinnoh,Veilstone Department Store - 1F,Dusk Ball,1400 PokéYen
Sinnoh,Veilstone Department Store - 1F,Quick Ball,1000 PokéYen
Sinnoh,Veilstone Department Store - 1F,Timer Ball,1200 PokéYen
Sinnoh,Veilstone Department Store - 1F,Repeat Ball,1250 PokéYen
Sinnoh,Veilstone Department Store - 1F,Escape Rope,750 PokéYen
Sinnoh,Veilstone Department Store - 1F,Poké Doll,300 PokéYen
Sinnoh,Veilstone Department Store - 1F,Repel,400 PokéYen
Sinnoh,Veilstone Department Store - 1F,Super Repel,750 PokéYen
Sinnoh,Veilstone Department Store - 1F,Max Repel,900 PokéYen
Sinnoh,Veilstone Department Store - 1F,Lure,600 PokéYen
Sinnoh,Veilstone Department Store - 1F,Super Lure,1200 PokéYen
Sinnoh,Veilstone Department Store - 1F,Expert Lure,1500 PokéYen
Sinnoh,Veilstone Department Store - 1F,Grass Mail, PokéYen
Sinnoh,Veilstone Department Store - 1F,Flame Mail, PokéYen
Sinnoh,Veilstone Department Store - 1F,Bubble Mail, PokéYen
Sinnoh,Veilstone Department Store - 1F,Space Mail, PokéYen
