Region,Location,Item,Price
Unova,All Marts (1 Badge),Great Ball,600 PokéYen
Unova,All Marts (1 Badge),Super Potion,600 PokéYen
Unova,All Marts (1 Badge),Repel,400 PokéYen
Unova,All Marts (1 Badge),Lure,600 PokéYen
Unova,All Marts (1 Badge),X Attack,2000 PokéYen
Unova,All Marts (1 Badge),X Special,2000 PokéYen
Unova,All Marts (1 Badge),X Defend,2500 PokéYen
Unova,All Marts (1 Badge),X Sp. Def,2500 PokéYen
Unova,All Marts (1 Badge),X Speed,2000 PokéYen
Unova,All Marts (1 Badge),X Accuracy,1500 PokéYen
Unova,All Marts (1 Badge),Dire Hit,1500 PokéYen
Unova,All Marts (1 Badge),Guard Spec,1500 PokéYen
Unova,All Marts (1 Badge),Burn Heal,300 PokéYen
Unova,All Marts (1 Badge),Ice Heal,300 PokéYen
Unova,All Marts (1 Badge),Escape Rope,750 PokéYen
