Region,Location,Item,Price
Unova,Gear Station,Mental Herb,85 BP
Unova,Gear Station,White Herb,100 BP
Unova,Gear Station,Power Herb,100 BP
Unova,Gear Station,Absorb Bulb,100 BP
Unova,Gear Station,Cell Battery,100 BP
Unova,Gear Station,Red Card,100 BP
Unova,Gear Station,Eject Button,100 BP
Unova,Gear Station,Air Balloon,100 BP
Unova,Gear Station,Focus Sash,100 BP
Unova,Gear Station,Life Orb,"6,400 BP"
Unova,Gear Station,Toxic Orb,"6,400 BP"
Unova,Gear Station,Flame Orb,"6,400 BP"
Unova,Gear Station,Leftovers,"4,800 BP"
Unova,Gear Station,Wise Glasses,"4,800 BP"
Unova,Gear Station,Scope Lens,"4,800 BP"
Unova,Gear Station,Zoom Lens,"4,800 BP"
Unova,Gear Station,Wide Lens,"4,800 BP"
Unova,Gear Station,Muscle Band,"4,800 BP"
Unova,Gear Station,Rocky Helmet,"4,800 BP"
Unova,Gear Station,Focus Band,"3,200 BP"
Unova,Gear Station,Choice Band,"9,800 BP"
Unova,Gear Station,Choice Scarf,"9,800 BP"
Unova,Gear Station,Choice Specs,"9,800 BP"
Unova,Gear Station,Eviolite,"9,800 BP"
Unova,Gear Station,Assault Gear,"9,800 BP"
Unova,Gear Station,Dubious Disc,"4,800 BP"
Unova,Gear Station,Up-Grade,"3,200 BP"
Unova,Gear Station,Razor Claw,"4,800 BP"
Unova,Gear Station,Razor Fang,"4,800 BP"
Unova,Gear Station,BrightPowder,"3,200 BP"
Unova,Gear Station,Iron Ball,"4,800 BP"
Unova,Gear Station,Ring Target,"4,800 BP"
Unova,Gear Station,Binding Band,"4,800 BP"
Unova,Gear Station,Reinforced Boots,"9,800 BP"
Unova,Gear Station,Punching Gloves,"6,400 BP"
Unova,Gear Station,Covert Mantle,"6,400 BP"
Unova,Gear Station,Loaded Dice,"4,800 BP"
Unova,Gear Station,Safety Goggles,"4,800 BP"
Unova,Gear Station,Protective Pads,"4,800 BP"
Unova,Gear Station,Pure Amulet,"9,800 BP"
Unova,Gear Station,Type Policy,85 BP
Unova,Gear Station,Throat Spray,100 BP
Unova,Gear Station,Room Service,100 BP
Unova,Gear Station,Snowball,100 BP
Unova,Gear Station,Glowing Moss,100 BP
Unova,Gear Station,Eject Pack,100 BP
Unova,Gear Station,PVP Mystery Box,"7,500 BP"
Unova,Gear Station,Health Wing,150 BP
Unova,Gear Station,Muscle Wing,150 BP
Unova,Gear Station,Resist Wing,150 BP
Unova,Gear Station,Genius Wing,150 BP
Unova,Gear Station,Clever Wing,150 BP
Unova,Gear Station,Swift Wing,150 BP
Unova,Gear Station,Pretty Wing,150 BP
Unova,Gear Station,HP Up,275 BP
Unova,Gear Station,Protein,275 BP
Unova,Gear Station,Calcium,275 BP
Unova,Gear Station,Iron,275 BP
Unova,Gear Station,Zinc,275 BP
Unova,Gear Station,Carbos,275 BP
Unova,Gear Station,Power Weight,750 BP
Unova,Gear Station,Power Bracer,750 BP
Unova,Gear Station,Power Belt,750 BP
Unova,Gear Station,Power Lens,750 BP
Unova,Gear Station,Power Band,750 BP
Unova,Gear Station,Power Anklet,750 BP
Unova,Gear Station,Ability Pill,"2,250 BP"
Unova,Gear Station,Mud Ball,200 BP
Unova,Gear Station,Fence Length,500 BP
Unova,Gear Station,Fence Width,500 BP
Unova,Gear Station,Tire,"1,200 BP"
Unova,Gear Station,Solid Board,"3,200 BP"
Unova,Gear Station,Sand Ornament,"3,200 BP"
Unova,Gear Station,Breakable Door,"3,200 BP"
Unova,Gear Station,TV,"3,200 BP"
Unova,Gear Station,Round TV,"4,200 BP"
Unova,Gear Station,Cute TV,"4,200 BP"
Unova,Gear Station,Stand,"8,000 BP"
Unova,Gear Station,Slide,"8,000 BP"
Unova,Gear Station,Wailmer Doll,"12,800 BP"
Unova,Gear Station,Rhydon Doll,"12,800 BP"
Unova,Gear Station,Kiss Poster,"1,600 BP"
Unova,Gear Station,Kiss Cushion,"3,200 BP"
Unova,Gear Station,Smoochum Doll,"3,200 BP"
Unova,Gear Station,Togepi Doll,"4,800 BP"
Unova,Gear Station,Meowth Doll,"4,800 BP"
Unova,Gear Station,Clefairy Doll,"4,800 BP"
Unova,Gear Station,Ditto Doll,"4,800 BP"
Unova,Gear Station,Cyndaquil Doll,"8,000 BP"
Unova,Gear Station,Chikorita Doll,"8,000 BP"
Unova,Gear Station,Totodile Doll,"8,000 BP"
Unova,Gear Station,Lapras Doll,"12,800 BP"
Unova,Gear Station,Snorlax Doll,"12,800 BP"
Unova,Gear Station,Venusaur Doll,"25,600 BP"
Unova,Gear Station,Charizard Doll,"25,600 BP"
Unova,Gear Station,Blastoise Doll,"25,600 BP"
