Region,Location,Item,Price
Unova,Shopping Mall 9 - Ground Floor,Poké Ball,200 PokéYen
Unova,Shopping Mall 9 - Ground Floor,Great Ball,600 PokéYen
Unova,Shopping Mall 9 - Ground Floor,Ultra Ball,1200 PokéYen
Unova,Shopping Mall 9 - Ground Floor,Potion,200 PokéYen
Unova,Shopping Mall 9 - Ground Floor,Super Potion,600 PokéYen
Unova,Shopping Mall 9 - Ground Floor,Hyper Potion,1200 PokéYen
Unova,Shopping Mall 9 - Ground Floor,Revive,3250 PokéYen
Unova,Shopping Mall 9 - Ground Floor,Poké Toy,1000 PokéYen
Unova,Shopping Mall 9 - Ground Floor,Repel,400 PokéYen
Unova,Shopping Mall 9 - Ground Floor,Super Repel,750 PokéYen
Unova,Shopping Mall 9 - Ground Floor,Max Repel,900 PokéYen
Unova,Shopping Mall 9 - Ground Floor,Lure,600 PokéYen
Unova,Shopping Mall 9 - Ground Floor,Super Lure,1200 PokéYen
Unova,Shopping Mall 9 - Ground Floor,Expert Lure,1500 PokéYen
Unova,Shopping Mall 9 - Ground Floor,Antidote,200 PokéYen
Unova,Shopping Mall 9 - Ground Floor,Parlyz Heal,300 PokéYen
Unova,Shopping Mall 9 - Ground Floor,Burn Heal,300 PokéYen
Unova,Shopping Mall 9 - Ground Floor,Ice Heal,300 PokéYen
Unova,Shopping Mall 9 - Ground Floor,Awakening,300 PokéYen
Unova,Shopping Mall 9 - Ground Floor,Escape Rope,750 PokéYen
