Region,Location
Hoenn,Littleroot Town
Hoenn,Oldale Town
Hoenn,Petalburg City
Hoenn,Rustboro City
Hoenn,Dewford Town
Hoenn,Slateport City
Hoenn,Mauville City
Hoenn,Verdanturf Town
Hoenn,Fallarbor Town
Hoenn,Lavaridge Town
Hoenn,Fortree City
Hoenn,Lilycove City
Hoenn,Mossdeep City
Hoenn,Sootopolis City
Hoenn,Pacifidlog Town
Hoenn,Ever Grande City
Hoenn,Petalburg Woods
Hoenn,Rusturf Tunnel
Hoenn,Granite Cave
Hoenn,New Mauville
Hoenn,Mt.Chimney
Hoenn,Fiery Path
Hoenn,Cave of Origin
Hoenn,Scorched Slab
Hoenn,Safari Zone
Hoenn,Seafloor Cavern
Hoenn,Sealed Chamber
Hoenn,Meteor Falls
Hoenn,Shoal Cave
Hoenn,Mt. Pyre
Hoenn,Jagged Pass
Hoenn,Sky Pillar
Hoenn,Abandoned Ship
Hoenn,Trainer Hill
Hoenn,Battle Frontier
Hoenn,Artisan Cave
Hoenn,Desert Underpass
Hoenn,Mirage Tower
Hoenn,Underwater
Hoenn,Route 101
Hoenn,Route 102
Hoenn,Route 103
Hoenn,Route 104
Hoenn,Route 105
Hoenn,Route 106
Hoenn,Route 107
Hoenn,Route 108
Hoenn,Route 109
Hoenn,Route 110
Hoenn,Route 111
Hoenn,Route 112
Hoenn,Route 113
Hoenn,Route 114
Hoenn,Route 115
Hoenn,Route 116
Hoenn,Route 117
Hoenn,Route 118
Hoenn,Route 119
Hoenn,Route 120
Hoenn,Route 121
Hoenn,Route 122
Hoenn,Route 123
Hoenn,Route 124
Hoenn,Route 125
Hoenn,Route 126
Hoenn,Route 127
Hoenn,Route 128
Hoenn,Route 129
Hoenn,Route 130
Hoenn,Route 131
Hoenn,Route 132
Hoenn,Route 133
Hoenn,Route 134
