Region,Location
Johto,New Bark Town
Johto,Cherrygrove City
Johto,Violet City
Johto,Azalea Town
Johto,Goldenrod City
Johto,Ecruteak City
Johto,Olivine City
Johto,Cianwood City
Johto,Mahogany Town
Johto,Blackthorn City
Johto,Safari Zone Gate
Johto,Frontier Access
Johto,Dark Cave
Johto,Sprout Tower
Johto,Ruins of Alph
Johto,Union Cave
Johto,Slowpoke Well
Johto,Ilex Forest
Johto,Goldenrod Radio Tower
Johto,Global Terminal
Johto,Goldenrod Tunnel
Johto,National Park
Johto,Pokéathlon Dome
Johto,Bell Tower
Johto,Bellchime Trail
Johto,Burned Tower
Johto,Moomoo Farm
Johto,Glitter Lighthouse
Johto,Battle Frontier
Johto,Cliff Edge Gate
Johto,Cliff Cave
Johto,Embedded Tower
Johto,Safari Zone (Johto)
Johto,Whirl Islands
Johto,Mt. Mortar
Johto,Lake of Rage
Johto,Team Rocket HQ
Johto,Ice Path
Johto,Dragon's Den
Johto,Tohjo Falls
Johto,Victory Road
Johto,Mt. Silver
Johto,Route 26
Johto,Route 27
Johto,Route 28
Johto,Route 29
Johto,Route 30
Johto,Route 31
Johto,Route 32
Johto,Route 33
Johto,Route 34
Johto,Route 35
Johto,Route 36
Johto,Route 37
Johto,Route 38
Johto,Route 39
Johto,Route 40
Johto,Route 41
Johto,Route 42
Johto,Route 43
Johto,Route 44
Johto,Route 45
Johto,Route 46
Johto,Route 47
Johto,Route 48
