Region,Location
Kanto,Pallet Town
Kanto,Viridian City
Kanto,Pewter City
Kanto,Cerulean City
Kanto,Vermilion City
Kanto,Lavender Town
Kanto,Celadon City
Kanto,Fuchsia City
Kanto,Saffron City
Kanto,Cinnabar Island
Kanto,Cerulean Cave
Kanto,Diglett's Cave
Kanto,Indigo Plateau
Kanto,Mt. Moon
Kanto,Pokémon Mansion
Kanto,Pokémon Tower
Kanto,Power Plant
Kanto,Rock Tunnel
Kanto,Rocket Game Corner
Kanto,Safari Zone
Kanto,Seafoam Islands
Kanto,Silph Co.
Kanto,Victory Road
Kanto,Viridian Forest
Kanto,S.S. Anne
Kanto,Underground Route 5-6
Kanto,Underground Route 7-8
Kanto,Route 1
Kanto,Route 2
Kanto,Route 3
Kanto,Route 4
Kanto,Route 5
Kanto,Route 6
Kanto,Route 7
Kanto,Route 8
Kanto,Route 9
Kanto,Route 10
Kanto,Route 11
Kanto,Route 12
Kanto,Route 13
Kanto,Route 14
Kanto,Route 15
Kanto,Route 16
Kanto,Route 17
Kanto,Route 18
Kanto,Route 19
Kanto,Route 20
Kanto,Route 21
Kanto,Route 22
Kanto,Route 23
Kanto,Route 24
Kanto,Route 25
