Region,Location
Sevii Islands,One Island
Sevii Islands,Two Island
Sevii Islands,Three Island
Sevii Islands,Four Island
Sevii Islands,Five Island
Sevii Islands,Six Island
Sevii Islands,Seven Island
Sevii Islands,Treasure Beach
Sevii Islands,Kindle Road
Sevii Islands,Mt. Ember
Sevii Islands,Cape Brink
Sevii Islands,Three Isle Port
Sevii Islands,Three Isle Path
Sevii Islands,Bond Bridge
Sevii Islands,Berry Forest
Sevii Islands,Icefall Cave
Sevii Islands,Water Labyrinth
Sevii Islands,Resort Gorgeous
Sevii Islands,Lost Cave
Sevii Islands,Five Isle Meadow
Sevii Islands,Rocket Warehouse
Sevii Islands,Memorial Pillar
Sevii Islands,Water Path
Sevii Islands,Pattern Bush
Sevii Islands,Green Path
Sevii Islands,Outcast Island
Sevii Islands,Altering Cave
Sevii Islands,Ruin Valley
Sevii Islands,Dotted Hole
Sevii Islands,Trainer Tower
Sevii Islands,Canyon Entrance
Sevii Islands,Sevault Canyon
Sevii Islands,Tanoby Key
Sevii Islands,Tanoby Ruins
Sevii Islands,Tanoby Chambers
