Region,Location
Sinnoh,Twinleaf Town
Sinnoh,Sandgem Town
Sinnoh,Jubilife City
Sinnoh,Oreburgh City
Sinnoh,Floaroma Town
Sinnoh,Eterna City
Sinnoh,Hearthome City
Sinnoh,Solaceon Town
Sinnoh,Veilstone City
Sinnoh,Pastoria City
Sinnoh,Celestic Town
Sinnoh,Canalave City
Sinnoh,Snowpoint City
Sinnoh,Sunyshore City
Sinnoh,Sinnoh Pokémon League
Sinnoh,Verity Lakefront
Sinnoh,Oreburgh Gate
Sinnoh,Oreburgh Mine
Sinnoh,Ravaged Path
Sinnoh,Valley Windworks
Sinnoh,Fuego Ironworks
Sinnoh,Eterna Forest
Sinnoh,Mt. Coronet
Sinnoh,Lost Tower
Sinnoh,Solaceon Ruins
Sinnoh,Pokémon Day Care
Sinnoh,Maniac Tunnel
Sinnoh,Valor Lakefront
Sinnoh,Pokémon Mansion (Sinnoh)
Sinnoh,Iron Island
Sinnoh,Acuity Lakefront
Sinnoh,Snowpoint Temple
Sinnoh,Spear Pillar
Sinnoh,Distortion World
Sinnoh,Vista Lighthouse
Sinnoh,Sinnoh Victory Road
Sinnoh,Pal Park
Sinnoh,Fight Area
Sinnoh,Resort Area
Sinnoh,Wayward Cave
Sinnoh,Survival Area
Sinnoh,Sinnoh Battle Frontier
Sinnoh,Stark Mountain
Sinnoh,Spring Path
Sinnoh,Seabreak Path
Sinnoh,Flower Paradise
Sinnoh,Fullmoon Island
Sinnoh,Floaroma Meadow
Sinnoh,Route 201
Sinnoh,Route 202
Sinnoh,Route 203
Sinnoh,Route 204
Sinnoh,Route 205
Sinnoh,Route 206
Sinnoh,Route 207
Sinnoh,Route 208
Sinnoh,Route 209
Sinnoh,Route 210
Sinnoh,Route 211
Sinnoh,Route 212
Sinnoh,Route 213
Sinnoh,Route 214
Sinnoh,Route 215
Sinnoh,Route 216
Sinnoh,Route 217
Sinnoh,Route 218
Sinnoh,Route 219
Sinnoh,Route 220
Sinnoh,Route 221
Sinnoh,Route 222
Sinnoh,Route 223
Sinnoh,Route 224
Sinnoh,Route 225
Sinnoh,Route 226
Sinnoh,Route 227
Sinnoh,Route 228
Sinnoh,Route 229
Sinnoh,Route 230
