Region,Location
Unova,Nuvema Town
Unova,Accumula Town
Unova,Striaton City
Unova,Nacrene City
Unova,Castelia City
Unova,Nimbasa City
Unova,Driftveil City
Unova,Mistralton City
Unova,Icirrus City
Unova,Opelucid City
Unova,Pokémon League
Unova,Lacunosa Town
Unova,Undella Town
Unova,White Forest
Unova,Anville Town
Unova,P2 Laboratory
Unova,Dreamyard
Unova,Wellspring Cave
Unova,Pinwheel Forest
Unova,Skyarrow Bridge
Unova,Desert Resort
Unova,Relic Castle
Unova,Driftveil Drawbridge
Unova,Cold Storage
Unova,Mistralton Cave
Unova,Chargestone Cave
Unova,Celestial Tower
Unova,Twist Mountain
Unova,Dragonspiral Tower
Unova,Moor of Icirrus
Unova,Tubeline Bridge
Unova,Challenger's Cave
Unova,Victory Road
Unova,Village Bridge
Unova,Giant Chasm
Unova,Undella Bay
Unova,Abundant Shrine
Unova,Poké Transfer Lab
Unova,Marvelous Bridge
Unova,Lostlorn Forest
Unova,Route 1 (Unova)
Unova,Route 2 (Unova)
Unova,Route 3 (Unova)
Unova,Route 4 (Unova)
Unova,Route 5 (Unova)
Unova,Route 6 (Unova)
Unova,Route 7 (Unova)
Unova,Route 8 (Unova)
Unova,Route 9 (Unova)
Unova,Route 10 (Unova)
Unova,Route 11 (Unova)
Unova,Route 12 (Unova)
Unova,Route 13 (Unova)
Unova,Route 14 (Unova)
Unova,Route 15 (Unova)
Unova,Route 16 (Unova)
Unova,Route 17 (Unova)
Unova,Route 18 (Unova)
