pokemon_id,move_id,move_name,learn_method,learn_level
1,33,Tackle,level,1
1,45,Growl,level,1
1,22,Vine Whip,level,3
1,45,Growl,level,3
1,74,Growth,level,6
1,73,Leech Seed,level,9
1,75,Razor Leaf,level,12
1,77,PoisonPowder,level,14
1,79,Sleep Powder,level,14
1,402,Seed Bomb,level,18
1,36,Take Down,level,18
1,230,Sweet Scent,level,24
1,235,Synthesis,level,27
1,388,Worry Seed,level,30
1,38,Double-Edge,level,32
1,438,Power Whip,level,33
1,76,SolarBeam,level,36
1,275,Ingrain,egg_moves,
1,320,GrassWhistle,egg_moves,
1,80,Petal Dance,egg_moves,
1,124,Sludge,egg_moves,
1,20,Bind,move_tutor,
1,388,Worry Seed,move_tutor,
1,111,Defense Curl,move_tutor,
1,338,Frenzy Plant,move_tutor,
1,520,Grass Pledge,move_tutor,
1,335,Block,move_tutor,
1,173,Snore,move_tutor,
1,235,Synthesis,move_tutor,
1,81,String Shot,move_tutor,
1,246,AncientPower,move_tutor,
1,133,Amnesia,move_learner_tools,
1,200,Outrage,move_learner_tools,
1,270,Helping Hand,move_learner_tools,
1,70,Strength,move_learner_tools,
1,267,Nature Power,move_learner_tools,
1,402,Seed Bomb,move_learner_tools,
1,263,Facade,move_learner_tools,
1,117,Bide,move_learner_tools,
1,526,Work Up,move_learner_tools,
1,113,Light Screen,move_learner_tools,
1,249,Rock Smash,move_learner_tools,
1,241,Sunny Day,move_learner_tools,
1,102,Mimic,move_learner_tools,
1,34,Body Slam,move_learner_tools,
1,237,Hidden Power,move_learner_tools,
1,99,Rage,move_learner_tools,
1,174,Curse,move_learner_tools,
1,230,Sweet Scent,move_learner_tools,
1,92,Toxic,move_learner_tools,
1,363,Natural Gift,move_learner_tools,
1,497,Echoed Voice,move_learner_tools,
1,496,Round,move_learner_tools,
1,219,Safeguard,move_learner_tools,
1,218,Frustration,move_learner_tools,
1,491,Acid Spray,move_learner_tools,
1,216,Return,move_learner_tools,
1,214,Sleep Talk,move_learner_tools,
1,213,Attract,move_learner_tools,
1,164,Substitute,move_learner_tools,
1,210,Fury Cutter,move_learner_tools,
1,72,Mega Drain,move_learner_tools,
1,345,Magical Leaf,move_learner_tools,
1,207,Swagger,move_learner_tools,
1,206,False Swipe,move_learner_tools,
1,204,Charm,move_learner_tools,
1,203,Endure,move_learner_tools,
1,202,Giga Drain,move_learner_tools,
1,474,Venoshock,move_learner_tools,
1,36,Take Down,move_learner_tools,
1,76,SolarBeam,move_learner_tools,
1,331,Bullet Seed,move_learner_tools,
1,189,Mud-Slap,move_learner_tools,
1,188,Sludge Bomb,move_learner_tools,
1,182,Protect,move_learner_tools,
1,38,Double-Edge,move_learner_tools,
1,311,Weather Ball,move_learner_tools,
1,447,Grass Knot,move_learner_tools,
1,445,Captivate,move_learner_tools,
1,104,Double Team,move_learner_tools,
1,29,Headbutt,move_learner_tools,
1,438,Power Whip,move_learner_tools,
1,437,Leaf Storm,move_learner_tools,
1,115,Reflect,move_learner_tools,
1,156,Rest,move_learner_tools,
1,290,Secret Power,move_learner_tools,
1,15,Cut,move_learner_tools,
1,14,Swords Dance,move_learner_tools,
1,13,Razor Wind,move_learner_tools,
1,148,Flash,move_learner_tools,
1,282,Knock Off,move_learner_tools,
1,130,Skull Bash,move_learner_tools,
1,412,Energy Ball,move_learner_tools,
2,22,Vine Whip,level,1
2,33,Tackle,level,1
2,45,Growl,level,1
2,73,Leech Seed,level,1
2,74,Growth,level,1
2,45,Growl,level,3
2,22,Vine Whip,level,5
2,73,Leech Seed,level,9
2,75,Razor Leaf,level,12
2,77,PoisonPowder,level,14
2,79,Sleep Powder,level,14
2,402,Seed Bomb,level,20
2,36,Take Down,level,22
2,74,Growth,level,28
2,230,Sweet Scent,level,30
2,235,Synthesis,level,35
2,388,Worry Seed,level,40
2,38,Double-Edge,level,45
2,438,Power Whip,level,45
2,76,SolarBeam,level,50
2,20,Bind,move_tutor,
2,388,Worry Seed,move_tutor,
2,111,Defense Curl,move_tutor,
2,338,Frenzy Plant,move_tutor,
2,520,Grass Pledge,move_tutor,
2,335,Block,move_tutor,
2,173,Snore,move_tutor,
2,235,Synthesis,move_tutor,
2,81,String Shot,move_tutor,
2,246,AncientPower,move_tutor,
2,133,Amnesia,move_learner_tools,
2,200,Outrage,move_learner_tools,
2,270,Helping Hand,move_learner_tools,
2,70,Strength,move_learner_tools,
2,267,Nature Power,move_learner_tools,
2,402,Seed Bomb,move_learner_tools,
2,263,Facade,move_learner_tools,
2,117,Bide,move_learner_tools,
2,526,Work Up,move_learner_tools,
2,113,Light Screen,move_learner_tools,
2,249,Rock Smash,move_learner_tools,
2,241,Sunny Day,move_learner_tools,
2,102,Mimic,move_learner_tools,
2,34,Body Slam,move_learner_tools,
2,237,Hidden Power,move_learner_tools,
2,99,Rage,move_learner_tools,
2,174,Curse,move_learner_tools,
2,230,Sweet Scent,move_learner_tools,
2,92,Toxic,move_learner_tools,
2,363,Natural Gift,move_learner_tools,
2,497,Echoed Voice,move_learner_tools,
2,496,Round,move_learner_tools,
2,219,Safeguard,move_learner_tools,
2,218,Frustration,move_learner_tools,
2,491,Acid Spray,move_learner_tools,
2,216,Return,move_learner_tools,
2,214,Sleep Talk,move_learner_tools,
2,213,Attract,move_learner_tools,
2,164,Substitute,move_learner_tools,
2,210,Fury Cutter,move_learner_tools,
2,72,Mega Drain,move_learner_tools,
2,345,Magical Leaf,move_learner_tools,
2,207,Swagger,move_learner_tools,
2,206,False Swipe,move_learner_tools,
2,204,Charm,move_learner_tools,
2,203,Endure,move_learner_tools,
2,202,Giga Drain,move_learner_tools,
2,474,Venoshock,move_learner_tools,
2,36,Take Down,move_learner_tools,
2,76,SolarBeam,move_learner_tools,
2,331,Bullet Seed,move_learner_tools,
2,189,Mud-Slap,move_learner_tools,
2,188,Sludge Bomb,move_learner_tools,
2,46,Roar,move_learner_tools,
2,182,Protect,move_learner_tools,
2,38,Double-Edge,move_learner_tools,
2,311,Weather Ball,move_learner_tools,
2,447,Grass Knot,move_learner_tools,
2,445,Captivate,move_learner_tools,
2,104,Double Team,move_learner_tools,
2,29,Headbutt,move_learner_tools,
2,438,Power Whip,move_learner_tools,
2,437,Leaf Storm,move_learner_tools,
2,115,Reflect,move_learner_tools,
2,156,Rest,move_learner_tools,
2,290,Secret Power,move_learner_tools,
2,15,Cut,move_learner_tools,
2,14,Swords Dance,move_learner_tools,
2,13,Razor Wind,move_learner_tools,
2,148,Flash,move_learner_tools,
2,282,Knock Off,move_learner_tools,
